id,number,base_offset,name
sp-10,109,,Exhibit 3 109
sp-16,115,,Education Room 115
sp-29,128,,Restroom 128
sp-30,129,,Restroom 129
sp-31,130,,Elevator 130
sp-35,134,,Room Name 134
sp-50,149,,Restroom 149
sp-51,150,,Restroom 150
sp-52,151,,Elevator 151
sp-53,152,,Education Room 152
sp-60,159,,Hallway 159
