id,number,base_offset,top_level_id,top_offset,material
w-11,,0,lv-6,0,Metal Stud Layer
w-12,,0,lv-6,0,Metal Stud Layer
w-13,,0,lv-6,0,Metal Stud Layer
w-22,,0,lv-6,0,"Softwood, Lumber"
w-29,,0,lv-6,0,"Softwood, Lumber"
w-58,,0,lv-6,0,"Softwood, Lumber"
w-59,,0,lv-6,0,"Softwood, Lumber"
w-60,,0,lv-6,0,"Softwood, Lumber"
w-61,,0,lv-6,0,"Softwood, Lumber"
w-62,,0,lv-6,0,"Softwood, Lumber"
w-63,,0,lv-6,0,"Softwood, Lumber"
w-64,,0,lv-6,0,"Softwood, Lumber"
w-65,,0,lv-6,0,"Softwood, Lumber"
w-66,,0,lv-6,0,"Softwood, Lumber"
w-79,,0,lv-6,0,"Softwood, Lumber"
w-80,,0,lv-6,0,"Softwood, Lumber"
w-81,,0,lv-6,0,"Softwood, Lumber"
w-82,,0,lv-6,0,"Softwood, Lumber"
