id,number,base_offset,name
sp-4,E1,,Elevator E1
sp-44,P01,,Parking Garage P01
sp-45,P05,,Utility P05
sp-46,P02,,Machine RM P02
sp-47,P03,,Machine RM P03
sp-48,P04,,Storage P04
