id,number,base_offset,start_z,end_z,shape,size_x,size_y,material
bm-92,,0,5.588,5.588,,0.191,0.46,Steel
bm-93,,0,5.588,5.588,,0.191,0.46,Steel
bm-94,,0,5.588,5.588,,0.191,0.46,Steel
bm-95,,0,5.588,5.588,,0.191,0.46,Steel
bm-96,,0,5.588,5.588,,0.191,0.46,Steel
bm-97,,0,5.588,5.588,,0.191,0.46,Steel
bm-98,,0,5.588,5.588,,0.191,0.46,Steel
bm-99,,0,5.588,5.588,,0.191,0.46,Steel
bm-100,,0,5.588,5.588,,0.191,0.46,Steel
bm-101,,0,5.588,5.588,,0.191,0.46,Steel
bm-102,,0,5.588,5.588,,0.191,0.46,Steel
bm-103,,0,5.588,5.588,,0.191,0.46,Steel
bm-104,,0,5.588,5.588,,,0.406,Steel
bm-105,,0,5.588,5.588,,,0.406,Steel
bm-106,,0,5.588,5.588,,,0.406,Steel
bm-107,,0,5.588,5.588,,,0.406,Steel
bm-108,,0,5.588,5.588,,,0.406,Steel
bm-109,,0,5.588,5.588,,,0.406,Steel
bm-110,,0,5.588,5.588,,,0.406,Steel
bm-111,,0,5.588,5.588,,,0.406,Steel
bm-112,,0,5.588,5.588,,,0.406,Steel
bm-113,,0,5.588,5.588,,,0.406,Steel
bm-114,,0,5.588,5.588,,,0.406,Steel
bm-115,,0,5.588,5.588,,,0.406,Steel
bm-116,,0,5.588,5.588,,,0.406,Steel
bm-117,,0,5.588,5.588,,,0.406,Steel
bm-118,,0,5.588,5.588,,,0.406,Steel
bm-119,,0,5.588,5.588,,,0.406,Steel
bm-120,,0,5.588,5.588,,,0.406,Steel
bm-121,,0,5.588,5.588,,,0.406,Steel
bm-122,,0,5.588,5.588,,,0.406,Steel
bm-123,,0,5.588,5.588,,,0.406,Steel
bm-124,,0,5.588,5.588,,,0.406,Steel
bm-125,,0,5.588,5.588,,,0.406,Steel
bm-126,,0,5.588,5.588,,,0.406,Steel
bm-127,,0,5.588,5.588,,,0.406,Steel
bm-128,,0,5.588,5.588,,,0.406,Steel
bm-129,,0,5.588,5.588,,,0.406,Steel
bm-130,,0,5.588,5.588,,,0.406,Steel
bm-131,,0,5.588,5.588,,,0.406,Steel
bm-132,,0,5.588,5.588,,,0.406,Steel
bm-133,,0,5.588,5.588,,,0.406,Steel
bm-134,,0,5.588,5.588,,,0.406,Steel
bm-135,,0,5.588,5.588,,,0.406,Steel
bm-136,,0,1.524,1.524,,0.191,0.46,Steel
bm-137,,0,5.588,5.588,,0.191,0.46,Steel
bm-138,,0,5.588,5.588,,0.191,0.46,Steel
bm-139,,0,5.588,5.588,,0.191,0.46,Steel
bm-140,,0,5.588,5.588,,,0.406,Steel
bm-141,,0,5.588,5.588,,,0.406,Steel
bm-142,,0,5.588,5.588,,,0.406,Steel
bm-143,,0,5.588,5.588,,,0.406,Steel
bm-144,,0,5.588,5.588,,,0.406,Steel
bm-145,,0,5.588,5.588,,,0.406,Steel
bm-146,,0,5.588,5.588,,,0.406,Steel
bm-147,,0,5.588,5.588,,,0.406,Steel
bm-148,,0,5.588,5.588,,,0.406,Steel
bm-149,,0,5.588,5.588,,,0.406,Steel
bm-150,,0,5.588,5.588,,,0.406,Steel
bm-151,,0,5.588,5.588,,,0.406,Steel
bm-152,,0,5.588,5.588,,,0.406,Steel
bm-153,,0,5.588,5.588,,0.191,0.46,Steel
bm-154,,0,5.588,5.588,,0.307,0.942,Steel
bm-155,,0,2.311,2.311,,0.076,0.089,Steel
bm-156,,0,2.311,2.311,,0.1,0.2,Steel
bm-157,,0,5.588,5.588,,0.282,0.467,Steel
bm-158,,0,5.588,5.588,,0.282,0.467,Steel
bm-159,,0,5.588,5.588,,0.282,0.467,Steel
bm-160,,0,5.588,5.588,,0.282,0.467,Steel
bm-161,,0,5.588,5.588,,0.191,0.46,Steel
bm-162,,0,5.588,5.588,,0.1,0.2,Steel
bm-163,,0,5.588,5.588,,0.282,0.467,Steel
bm-164,,0,5.588,5.588,,0.1,0.2,Steel
bm-165,,0,5.588,5.588,,0.1,0.2,Steel
bm-166,,0,5.588,5.588,,0.1,0.2,Steel
bm-167,,0,5.588,5.588,,0.1,0.2,Steel
bm-168,,0,5.588,5.588,,0.1,0.2,Steel
bm-169,,0,5.588,5.588,,0.1,0.2,Steel
bm-170,,0,5.588,5.588,,0.282,0.467,Steel
bm-171,,0,5.588,5.588,,0.282,0.467,Steel
bm-172,,0,5.588,5.588,,0.282,0.467,Steel
bm-173,,0,5.588,5.588,,0.1,0.2,Steel
bm-174,,0,5.588,5.588,,0.1,0.2,Steel
bm-175,,0,5.588,5.588,,0.1,0.2,Steel
bm-176,,0,5.588,5.588,,0.1,0.2,Steel
bm-177,,0,5.588,5.588,,0.1,0.2,Steel
bm-178,,0,5.588,5.588,,0.1,0.2,Steel
bm-179,,0,5.588,5.588,,0.282,0.467,Steel
bm-180,,0,5.588,5.588,,0.282,0.467,Steel
bm-181,,0,5.588,5.588,,0.282,0.467,Steel
bm-182,,0,5.588,5.588,,0.1,0.2,Steel
bm-183,,0,5.588,5.588,,0.1,0.2,Steel
bm-184,,0,5.588,5.588,,0.1,0.2,Steel
bm-185,,0,1.524,1.524,,0.191,0.46,Steel
bm-186,,0,1.524,1.524,,,0.457,Steel
bm-187,,0,1.524,1.524,,,0.457,Steel
bm-188,,0,1.524,1.524,,,0.457,Steel
bm-189,,0,1.524,1.524,,,0.457,Steel
bm-190,,0,1.524,1.524,,,0.457,Steel
bm-191,,0,1.524,1.524,,,0.457,Steel
bm-192,,0,1.524,1.524,,,0.457,Steel
bm-193,,0,1.524,1.524,,,0.457,Steel
bm-194,,0,5.588,5.588,,0.191,0.46,Steel
bm-195,,0,5.588,5.588,,0.191,0.46,Steel
bm-196,,0,5.588,5.588,,0.282,0.467,Steel
bm-197,,0,5.588,5.588,,0.191,0.46,Steel
bm-198,,0,5.588,5.588,,0.191,0.46,Steel
bm-199,,0,5.588,5.588,,0.191,0.46,Steel
bm-200,,0,5.588,5.588,,0.191,0.46,Steel
bm-201,,0,5.588,5.588,,0.191,0.46,Steel
bm-202,,0,1.524,1.524,,0.191,0.46,Steel
bm-203,,0,1.524,1.524,,0.191,0.46,Steel
bm-204,,0,1.524,1.524,,0.191,0.46,Steel
bm-205,,0,5.588,5.588,,0.1,0.2,Steel
bm-206,,0,5.588,5.588,,0.1,0.2,Steel
bm-207,,0,5.588,5.588,,0.1,0.2,Steel
bm-208,,0,5.588,5.588,,0.1,0.2,Steel
bm-209,,0,5.588,5.588,,0.1,0.2,Steel
bm-210,,0,5.588,5.588,,0.1,0.2,Steel
bm-211,,0,5.588,5.588,,0.1,0.2,Steel
bm-212,,0,5.588,5.588,,0.191,0.46,Steel
bm-213,,0,5.588,5.588,,0.1,0.2,Steel
bm-214,,0,5.588,5.588,,0.1,0.2,Steel
bm-215,,0,5.588,5.588,,0.1,0.2,Steel
bm-216,,0,5.588,5.588,,0.1,0.2,Steel
bm-217,,0,5.588,5.588,,0.1,0.2,Steel
bm-218,,0,5.588,5.588,,0.1,0.2,Steel
bm-219,,0,5.588,5.588,,0.057,0.203,Steel
bm-220,,0,,,,0.057,0.203,Steel
bm-221,,0,5.588,5.588,,0.057,0.203,Steel
bm-222,,0,17.78,17.78,,0.191,0.46,Steel
bm-223,,0,17.78,17.78,,0.191,0.46,Steel
bm-224,,0,17.78,17.78,,0.191,0.46,Steel
bm-225,,0,17.78,17.78,,0.191,0.46,Steel
bm-226,,0,17.78,17.78,,0.191,0.46,Steel
bm-227,,0,17.78,17.78,,0.191,0.46,Steel
bm-228,,0,17.78,17.78,,0.191,0.46,Steel
bm-229,,0,17.78,17.78,,0.191,0.46,Steel
bm-230,,0,17.78,17.78,,0.191,0.46,Steel
bm-231,,0,17.78,17.78,,0.191,0.46,Steel
bm-232,,0,17.78,17.78,,0.191,0.46,Steel
bm-233,,0,17.78,17.78,,0.191,0.46,Steel
bm-234,,0,17.78,17.78,,0.191,0.46,Steel
