id,number,name,elevation
lv-1,,L1_43_High,-0
lv-2,,L2,2.464
lv-3,,L3,5.74
lv-4,,L4,9.804
lv-5,,L5,13.868
lv-6,,R2,17.932
lv-7,,Parking,-5.156
lv-8,,Parapet 2,21.59
lv-9,,L2 TOS,2.311
lv-10,,L1_37_Med,-1.054
lv-11,,L1_35_Low,-1.803
lv-12,,M1 TOS,1.524
lv-13,,M1,1.676
lv-14,,L3 TOS,5.588
lv-15,,Elevator Pit,-6.985
lv-16,,R2 TOS,17.78
lv-17,,L5 TOS,13.716
lv-18,,L4 TOS,9.652
lv-19,,Top of Footing,-5.334
