id,number,base_offset,material,length,width,thickness
if-59,,0,"Concrete, Cast-in-Place gray",0,0,
if-60,,0,"Concrete, Cast-in-Place gray",0,0,
if-61,,0,"Concrete, Cast-in-Place gray",0,0,
if-62,,0,"Concrete, Cast-in-Place gray",0,0,
if-63,,0,"Concrete, Cast-in-Place gray",0,0,
if-64,,0,"Concrete, Cast-in-Place gray",0,0,
if-65,,0,"Concrete, Cast-in-Place gray",0,0,
if-66,,0,"Concrete, Cast-in-Place gray",0,0,
if-67,,0,"Concrete, Cast-in-Place gray",0,0,
if-68,,0,"Concrete, Cast-in-Place gray",0,0,
if-69,,0,"Concrete, Cast-in-Place gray",0,0,
if-70,,0,"Concrete, Cast-in-Place gray",0,0,
if-71,,0,"Concrete, Cast-in-Place gray",0,0,
if-72,,0,"Concrete, Cast-in-Place gray",0,0,
