id,number,base_offset,start_z,end_z,shape,size_x,size_y,system_type
co-4,,,9.436,10.693,,,,
co-5,,,9.042,9.042,,,,
co-7,,,13.106,13.106,,,,
co-113,,,13.208,13.208,,,,
co-114,,,11.354,12.605,,,,
co-115,,,13.208,13.208,,,,
co-116,,,13.106,13.106,,,,
co-117,,,11.354,12.713,,,,
co-118,,,13.106,13.106,,,,
co-120,,,13.208,13.208,,,,
co-121,,,13.208,13.208,,,,
co-122,,,13.106,13.106,,,,
co-123,,,13.106,13.106,,,,
co-124,,,11.392,12.713,,,,
co-125,,,13.106,13.106,,,,
co-126,,,13.106,13.106,,,,
co-128,,,13.208,13.208,,,,
co-129,,,11.354,12.814,,,,
co-130,,,13.208,13.208,,,,
co-131,,,11.354,12.725,,,,
co-132,,,13.208,13.208,,,,
co-133,,,11.354,12.814,,,,
co-134,,,13.208,13.208,,,,
co-135,,,13.208,13.208,,,,
co-136,,,13.208,13.208,,,,
co-137,,,13.106,13.106,,,,
co-138,,,13.106,13.106,,,,
co-139,,,11.582,12.713,,,,
co-140,,,13.106,13.106,,,,
co-195,,,13.119,13.119,,,,
co-196,,,13.005,13.005,,,,
co-197,,,11.354,12.611,,,,
co-198,,,13.005,13.005,,,,
co-217,,,13.005,13.005,,,,
co-218,,,13.005,13.005,,,,
co-220,,,13.106,13.106,,,,
co-221,,,13.027,13.084,,,,
co-222,,,13.005,13.005,,,,
co-223,,,13.106,13.106,,,,
co-225,,,13.106,13.106,,,,
co-250,,,13.005,13.005,,,,
co-251,,,11.582,12.611,,,,
co-252,,,13.005,13.005,,,,
co-253,,,13.005,13.005,,,,
co-285,,,13.106,13.106,,,,
co-481,,,13.208,13.208,,,,
co-486,,,13.139,13.188,,,,
co-491,,,13.208,13.208,,,,
co-492,,,13.087,13.087,,,,
co-493,,,13.156,13.14,,,,
co-494,,,13.156,13.14,,,,
co-495,,,13.068,13.068,,,,
co-496,,,13.208,13.208,,,,
co-497,,,13.121,13.156,,,,
co-498,,,13.156,13.121,,,,
co-503,,,12.998,12.998,,,,
co-504,,,13.161,13.045,,,,
