id,number,base_offset,x,y,name
sp-23,108,,-121.962,-196.772,Exhibit 2 108
sp-24,110,,-128.354,-204.374,Food Prep 110
sp-25,111,,-115.029,-211.718,Kid Zone 111
sp-26,112,,0,0,Restroom 112
sp-27,113,,0,0,Restroom 113
sp-28,114,,0,0,Elevator 114
sp-29,133,,0,0,Mechanic 133
sp-30,136,,-113.469,-192.248,Restroom 136
sp-31,137,,-113.298,-197.524,Restroom 137
sp-32,138,,-113.955,-200.311,Elevator 138
sp-33,139,,-130.523,-207.854,Indoor Cafe Seats 139
sp-34,148,,-124.601,-211.274,Outdoor Cafe Seats 148
sp-35,158,,0,0,Hallway 158
