id,number,base_offset,start_z,end_z,shape,size_x,size_y,system_type,start_node_id,end_node_id
du-33,,,17.069,17.069,rect,0.305,0.305,hvac,,
du-34,,,16.561,16.612,rect,0.305,0.305,hvac,,
du-35,,,16.561,16.815,rect,0.305,0.305,hvac,,
du-36,,,17.069,17.069,rect,0.305,0.305,hvac,,
du-37,,,16.5,16.815,rect,0.254,0.102,hvac,,
du-38,,,16.5,16.916,rect,0.254,0.102,hvac,,
du-39,,,17.069,17.069,rect,0.254,0.102,hvac,,
du-40,,,17.069,17.069,rect,0.305,0.305,hvac,,
du-41,,,16.561,16.612,rect,0.305,0.305,hvac,,
du-42,,,17.069,17.069,rect,0.305,0.305,hvac,,
du-43,,,16.561,16.612,rect,0.305,0.305,hvac,,
du-44,,,17.069,17.069,rect,0.305,0.305,hvac,,
du-45,,,16.561,16.612,rect,0.305,0.305,hvac,,
du-46,,,17.069,17.069,rect,0.305,0.305,hvac,,
