id,number,base_offset,start_z,end_z,shape,size_x,size_y,system_type,start_node_id,end_node_id
pi-351,,,14.329,14.329,round,0.051,0.051,plumbing,,
pi-352,,,14.323,14.605,round,0.025,0.025,plumbing,,
pi-353,,,14.323,14.49,round,0.025,0.025,plumbing,,
pi-354,,,14.63,14.63,round,0.051,0.051,plumbing,,
pi-355,,,14.323,14.49,round,0.025,0.025,plumbing,,
pi-356,,,14.63,14.63,round,0.051,0.051,plumbing,,
pi-357,,,14.63,14.63,round,0.051,0.051,plumbing,,
pi-358,,,14.63,14.63,round,0.051,0.051,plumbing,,
pi-359,,,14.368,14.49,round,0.025,0.025,plumbing,,
pi-360,,,14.63,14.63,round,0.051,0.051,plumbing,,
pi-361,,,14.63,14.63,round,0.051,0.051,plumbing,,
pi-362,,,14.38,14.579,round,0.051,0.051,plumbing,,
pi-363,,,13.881,13.881,round,0.013,0.013,plumbing,,
pi-364,,,14.189,13.896,round,0.013,0.013,plumbing,,
pi-365,,,14.329,14.329,round,0.051,0.051,plumbing,,
pi-366,,,14.329,14.329,round,0.051,0.051,plumbing,,
pi-367,,,14.329,14.329,round,0.051,0.051,plumbing,,
pi-368,,,13.881,13.881,round,0.013,0.013,plumbing,,
pi-369,,,14.189,13.896,round,0.013,0.013,plumbing,,
pi-370,,,14.329,14.329,round,0.051,0.051,plumbing,,
pi-371,,,13.881,13.881,round,0.013,0.013,plumbing,,
pi-372,,,14.189,13.896,round,0.013,0.013,plumbing,,
pi-373,,,14.329,14.329,round,0.051,0.051,plumbing,,
pi-374,,,13.881,13.881,round,0.013,0.013,plumbing,,
pi-375,,,14.189,13.896,round,0.013,0.013,plumbing,,
pi-376,,,14.329,14.329,round,0.051,0.051,plumbing,,
pi-377,,,13.881,13.881,round,0.013,0.013,plumbing,,
pi-378,,,14.189,13.896,round,0.013,0.013,plumbing,,
pi-379,,,14.329,14.329,round,0.051,0.051,plumbing,,
pi-380,,,13.881,13.881,round,0.013,0.013,plumbing,,
pi-381,,,14.189,13.896,round,0.013,0.013,plumbing,,
