id,number,base_offset,system_type,terminal_type
tm-34,59,0,hvac,
tm-35,60,0,hvac,
tm-38,64,2.667,hvac,
tm-39,65,2.667,hvac,
tm-40,66,2.667,hvac,
tm-41,67,2.667,hvac,
tm-44,72,2.667,hvac,
tm-45,73,2.667,hvac,
tm-46,74,2.667,hvac,
tm-47,75,2.667,hvac,
tm-48,76,2.667,hvac,
tm-49,77,2.667,hvac,
tm-50,78,2.667,hvac,
tm-51,79,2.667,hvac,
tm-52,80,2.667,hvac,
tm-53,81,2.667,hvac,
tm-57,94,0,hvac,
tm-58,95,0,hvac,
tm-304,477,3.098,hvac,
tm-305,478,3.098,hvac,
tm-306,480,3.048,hvac,
tm-307,481,3.048,hvac,
tm-308,482,3.048,hvac,
tm-309,483,3.048,hvac,
tm-310,484,3.048,hvac,
tm-311,485,3.048,hvac,
tm-314,495,3.238,hvac,
tm-315,496,3.238,hvac,
tm-316,497,3.238,hvac,
tm-317,498,3.238,hvac,
tm-318,499,3.238,hvac,
tm-319,500,3.238,hvac,
tm-320,501,0,hvac,
tm-321,502,0,hvac,
tm-322,504,0,hvac,
tm-329,534,0,hvac,
tm-330,535,0,hvac,
tm-331,536,3.023,hvac,
tm-332,537,3.023,hvac,
tm-333,538,3.073,hvac,
tm-334,539,3.073,hvac,
tm-335,543,0,hvac,
tm-337,547,0,hvac,
tm-338,548,0,hvac,
tm-339,549,0,hvac,
tm-489,700,3.048,hvac,
tm-490,701,3.048,hvac,
tm-491,702,3.048,hvac,
tm-495,706,0,hvac,
tm-496,707,0,hvac,
tm-497,708,3.124,hvac,
tm-498,709,3.124,hvac,
tm-499,711,3.124,hvac,
tm-500,714,1.918,hvac,
tm-501,715,1.918,hvac,
tm-502,716,1.918,hvac,
tm-503,717,1.918,hvac,
tm-504,718,1.918,hvac,
tm-505,719,1.918,hvac,
tm-506,720,1.918,hvac,
tm-507,721,1.918,hvac,
