id,number,base_offset,system_type,equipment_type
eq-13,HRU108B,5.69,hvac,
eq-14,HRU108A,5.69,hvac,
eq-34,HRU105A,2.942,hvac,
eq-35,HRU105B,3.019,hvac,
eq-36,HRU107,2.968,hvac,
