id,number,base_offset,material,function,thickness
ss-9,,-0.457,Metal Deck,floor,0.038
ss-10,,-0.457,Metal Deck,floor,0.038
ss-18,,-0.457,Metal Deck,floor,0.038
ss-19,,-0.457,Metal Deck,floor,0.038
ss-20,,-0.457,Metal Deck,floor,0.038
