id,number,base_offset,system_type
mn-311,,1.219,plumbing
mn-312,,1.219,plumbing
mn-313,,1.219,plumbing
mn-314,,1.219,plumbing
mn-315,,1.219,plumbing
mn-316,,1.155,plumbing
mn-317,,1.219,plumbing
mn-318,,1.155,plumbing
mn-319,,1.219,plumbing
mn-320,,1.219,plumbing
mn-321,,1.155,plumbing
mn-322,,0.918,plumbing
mn-323,,1.219,plumbing
mn-324,,0.918,plumbing
mn-325,,0.854,plumbing
mn-326,,0.47,plumbing
mn-327,,0.918,plumbing
mn-328,,0.918,plumbing
mn-329,,0.918,plumbing
mn-330,,0.918,plumbing
mn-331,,0.854,plumbing
mn-332,,0.47,plumbing
mn-333,,0.918,plumbing
mn-334,,0.854,plumbing
mn-335,,0.47,plumbing
mn-336,,0.918,plumbing
mn-337,,0.854,plumbing
mn-338,,0.47,plumbing
mn-339,,0.918,plumbing
mn-340,,0.854,plumbing
mn-341,,0.47,plumbing
mn-342,,0.918,plumbing
mn-343,,0.854,plumbing
mn-344,,0.47,plumbing
mn-345,,0.918,plumbing
mn-346,,0.854,plumbing
mn-347,,0.47,plumbing
mn-348,,0.918,plumbing
mn-349,,0.854,plumbing
mn-350,,0.47,plumbing
mn-351,,0.918,plumbing
mn-352,,0.854,plumbing
mn-353,,0.47,plumbing
mn-354,,0.918,plumbing
mn-355,,0.854,plumbing
mn-356,,0.47,plumbing
mn-357,,0.918,plumbing
mn-358,,0.918,plumbing
mn-359,,0.356,plumbing
mn-360,,0.918,plumbing
mn-361,,0.854,plumbing
mn-362,,0.918,plumbing
mn-363,,0.854,plumbing
mn-364,,0.356,plumbing
mn-365,,0.918,plumbing
mn-366,,0.854,plumbing
mn-367,,0.356,plumbing
mn-368,,0.918,plumbing
mn-369,,0.918,plumbing
mn-370,,0.356,plumbing
mn-371,,0.918,plumbing
mn-372,,0.854,plumbing
mn-373,,0.918,plumbing
mn-374,,0.854,plumbing
mn-375,,0.356,plumbing
mn-376,,0.918,plumbing
mn-377,,0.854,plumbing
mn-378,,0.356,plumbing
mn-379,,1.524,plumbing
mn-380,,1.524,plumbing
mn-381,,1.524,plumbing
mn-382,,1.524,plumbing
mn-383,,1.524,plumbing
mn-384,,1.524,plumbing
mn-385,,1.524,plumbing
mn-386,,0.356,plumbing
mn-387,,1.524,plumbing
mn-388,,1.486,plumbing
mn-389,,0.356,plumbing
mn-390,,0.356,plumbing
mn-391,,1.524,plumbing
mn-392,,1.486,plumbing
mn-393,,1.524,plumbing
mn-394,,1.524,plumbing
mn-395,,1.524,plumbing
mn-396,,0.356,plumbing
mn-397,,0.356,plumbing
mn-398,,1.524,plumbing
mn-399,,1.486,plumbing
mn-400,,0.356,plumbing
mn-401,,1.524,plumbing
mn-402,,1.486,plumbing
mn-403,,-0.305,plumbing
mn-404,,-0.305,plumbing
mn-405,,-0.305,plumbing
mn-406,,-0.305,plumbing
mn-407,,-0.305,plumbing
mn-408,,-0.305,plumbing
mn-409,,-0.305,plumbing
mn-410,,-0.305,plumbing
mn-411,,-0.305,plumbing
mn-412,,-0.305,plumbing
mn-413,,-0.305,plumbing
mn-414,,-0.305,plumbing
mn-415,,-0.305,plumbing
mn-416,,-0.305,plumbing
mn-417,,-0.305,plumbing
mn-418,,-0.305,plumbing
mn-419,,-0.305,plumbing
mn-420,,-0.305,plumbing
mn-421,,-0.305,plumbing
mn-422,,-0.305,plumbing
mn-423,,-0.305,plumbing
mn-424,,-0.305,plumbing
mn-425,,-0.305,plumbing
mn-426,,-0.305,plumbing
mn-427,,-0.305,plumbing
mn-428,,-0.305,plumbing
mn-429,,-0.305,plumbing
mn-430,,-0.305,plumbing
mn-431,,-0.305,plumbing
mn-432,,-0.305,plumbing
mn-433,,-0.305,plumbing
mn-434,,-0.305,plumbing
mn-435,,-0.305,plumbing
mn-436,,-0.305,plumbing
mn-437,,-0.305,plumbing
mn-438,,-0.305,plumbing
mn-439,,-0.305,plumbing
mn-440,,-0.305,plumbing
mn-441,,-0.305,plumbing
mn-442,,-0.305,plumbing
mn-443,,-0.305,plumbing
mn-444,,-0.305,plumbing
mn-445,,-0.305,plumbing
mn-446,,-0.305,plumbing
mn-447,,-0.305,plumbing
mn-448,,-0.305,plumbing
mn-449,,-0.305,plumbing
mn-450,,-0.305,plumbing
mn-451,,-0.305,plumbing
mn-452,,-0.305,plumbing
mn-453,,-0.305,plumbing
mn-454,,-0.305,plumbing
mn-455,,-0.305,plumbing
mn-456,,-0.305,plumbing
mn-457,,-0.305,plumbing
mn-458,,-0.305,plumbing
mn-459,,-0.305,plumbing
mn-460,,-0.305,plumbing
mn-461,,-0.305,plumbing
mn-462,,-0.305,plumbing
mn-463,,-0.305,plumbing
mn-464,,-0.305,plumbing
mn-465,,-0.305,plumbing
mn-776,,0.918,plumbing
mn-777,,1.524,plumbing
mn-778,,2.743,plumbing
mn-779,,0.918,plumbing
mn-780,,0.918,plumbing
mn-781,,3.048,plumbing
mn-782,,3.048,plumbing
mn-783,,1.524,plumbing
mn-784,,1.524,plumbing
mn-785,,2.743,plumbing
mn-786,,2.679,plumbing
mn-787,,-0.04,plumbing
mn-788,,-0.04,plumbing
mn-789,,2.743,plumbing
mn-790,,2.679,plumbing
mn-791,,-0.04,plumbing
mn-792,,-0.04,plumbing
mn-793,,3.048,plumbing
mn-794,,3.01,plumbing
mn-795,,-0.04,plumbing
mn-796,,-0.04,plumbing
mn-797,,3.048,plumbing
mn-798,,3.01,plumbing
mn-799,,-0.04,plumbing
mn-800,,-0.04,plumbing
mn-801,,-0.305,plumbing
mn-802,,-0.305,plumbing
mn-803,,-0.305,plumbing
mn-804,,-0.305,plumbing
