id,number,base_offset,system_type
mn-1,,1.219,plumbing
mn-2,,1.219,plumbing
mn-3,,1.219,plumbing
mn-4,,1.219,plumbing
mn-5,,1.219,plumbing
mn-6,,1.155,plumbing
mn-7,,1.219,plumbing
mn-8,,1.155,plumbing
mn-9,,1.219,plumbing
mn-10,,1.219,plumbing
mn-11,,1.155,plumbing
mn-12,,0.918,plumbing
mn-13,,1.219,plumbing
mn-14,,0.918,plumbing
mn-15,,0.854,plumbing
mn-16,,0.47,plumbing
mn-17,,0.918,plumbing
mn-18,,0.918,plumbing
mn-19,,0.918,plumbing
mn-20,,0.918,plumbing
mn-21,,0.854,plumbing
mn-22,,0.47,plumbing
mn-23,,0.918,plumbing
mn-24,,0.854,plumbing
mn-25,,0.47,plumbing
mn-26,,0.918,plumbing
mn-27,,0.854,plumbing
mn-28,,0.47,plumbing
mn-29,,0.918,plumbing
mn-30,,0.854,plumbing
mn-31,,0.47,plumbing
mn-32,,0.918,plumbing
mn-33,,0.854,plumbing
mn-34,,0.47,plumbing
mn-35,,0.918,plumbing
mn-36,,0.854,plumbing
mn-37,,0.47,plumbing
mn-38,,0.918,plumbing
mn-39,,0.854,plumbing
mn-40,,0.47,plumbing
mn-41,,0.918,plumbing
mn-42,,0.854,plumbing
mn-43,,0.47,plumbing
mn-44,,0.918,plumbing
mn-45,,0.854,plumbing
mn-46,,0.47,plumbing
mn-47,,0.918,plumbing
mn-48,,0.918,plumbing
mn-49,,0.356,plumbing
mn-50,,0.918,plumbing
mn-51,,0.854,plumbing
mn-52,,0.918,plumbing
mn-53,,0.854,plumbing
mn-54,,0.356,plumbing
mn-55,,0.918,plumbing
mn-56,,0.854,plumbing
mn-57,,0.356,plumbing
mn-58,,0.918,plumbing
mn-59,,0.918,plumbing
mn-60,,0.356,plumbing
mn-61,,0.918,plumbing
mn-62,,0.854,plumbing
mn-63,,0.918,plumbing
mn-64,,0.854,plumbing
mn-65,,0.356,plumbing
mn-66,,0.918,plumbing
mn-67,,0.854,plumbing
mn-68,,0.356,plumbing
mn-69,,1.524,plumbing
mn-70,,1.524,plumbing
mn-71,,1.524,plumbing
mn-72,,1.524,plumbing
mn-73,,1.524,plumbing
mn-74,,1.524,plumbing
mn-75,,1.524,plumbing
mn-76,,0.356,plumbing
mn-77,,1.524,plumbing
mn-78,,1.486,plumbing
mn-79,,0.356,plumbing
mn-80,,0.356,plumbing
mn-81,,1.524,plumbing
mn-82,,1.486,plumbing
mn-83,,1.524,plumbing
mn-84,,1.524,plumbing
mn-85,,1.524,plumbing
mn-86,,0.356,plumbing
mn-87,,0.356,plumbing
mn-88,,1.524,plumbing
mn-89,,1.486,plumbing
mn-90,,0.356,plumbing
mn-91,,1.524,plumbing
mn-92,,1.486,plumbing
mn-93,,-0.305,plumbing
mn-94,,-0.305,plumbing
mn-95,,-0.305,plumbing
mn-96,,-0.305,plumbing
mn-97,,-0.305,plumbing
mn-98,,-0.305,plumbing
mn-99,,-0.305,plumbing
mn-100,,-0.305,plumbing
mn-101,,-0.305,plumbing
mn-102,,-0.305,plumbing
mn-103,,-0.305,plumbing
mn-104,,-0.305,plumbing
mn-105,,-0.305,plumbing
mn-106,,-0.305,plumbing
mn-107,,-0.305,plumbing
mn-108,,-0.305,plumbing
mn-109,,-0.305,plumbing
mn-110,,-0.305,plumbing
mn-111,,-0.305,plumbing
mn-112,,-0.305,plumbing
mn-113,,-0.305,plumbing
mn-114,,-0.305,plumbing
mn-115,,-0.305,plumbing
mn-116,,-0.305,plumbing
mn-117,,-0.305,plumbing
mn-118,,-0.305,plumbing
mn-119,,-0.305,plumbing
mn-120,,-0.305,plumbing
mn-121,,-0.305,plumbing
mn-122,,-0.305,plumbing
mn-123,,-0.305,plumbing
mn-124,,-0.305,plumbing
mn-125,,-0.305,plumbing
mn-126,,-0.305,plumbing
mn-127,,-0.305,plumbing
mn-128,,-0.305,plumbing
mn-129,,-0.305,plumbing
mn-130,,-0.305,plumbing
mn-131,,-0.305,plumbing
mn-132,,-0.305,plumbing
mn-133,,-0.305,plumbing
mn-134,,-0.305,plumbing
mn-135,,-0.305,plumbing
mn-136,,-0.305,plumbing
mn-137,,-0.305,plumbing
mn-138,,-0.305,plumbing
mn-139,,-0.305,plumbing
mn-140,,-0.305,plumbing
mn-141,,-0.305,plumbing
mn-142,,-0.305,plumbing
mn-143,,-0.305,plumbing
mn-144,,-0.305,plumbing
mn-145,,-0.305,plumbing
mn-146,,-0.305,plumbing
mn-147,,-0.305,plumbing
mn-148,,-0.305,plumbing
mn-149,,-0.305,plumbing
mn-150,,-0.305,plumbing
mn-151,,-0.305,plumbing
mn-152,,-0.305,plumbing
mn-153,,-0.305,plumbing
mn-154,,-0.305,plumbing
mn-155,,-0.305,plumbing
mn-805,,4.267,plumbing
mn-806,,4.267,plumbing
mn-807,,4.267,plumbing
mn-808,,4.267,plumbing
mn-809,,4.267,plumbing
mn-810,,4.267,plumbing
mn-811,,4.267,plumbing
mn-812,,4.267,plumbing
mn-813,,4.267,plumbing
mn-814,,4.267,plumbing
mn-815,,4.267,plumbing
mn-816,,4.267,plumbing
