id,number,base_offset
rs-2,,
rs-3,,
rs-4,,
rs-5,,
rs-6,,
rs-7,,
rs-8,,
rs-9,,
rs-10,,
rs-11,,
rs-12,,
rs-13,,
rs-14,,
rs-15,,
