id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,start_x,start_y,end_x,end_y,length,top_level_id,top_offset,height,material,thickness
sw-26,"Concrete 12""",,lv-1,,,,45.12997426,12.4206,-6.1341,-1.624300694E-15,12.7254,0.8763,21.59,12.573,0.7239,12.573,-6.1341,6.858,lv-8,0,21.59,"Concrete, Cast-in-Place gray",0.3048
sw-27,"Concrete 24""",,lv-15,,,,10.47015403,-33.9852,12.7254,-6.985,-30.5181,13.335,-1.8034,-33.6804,13.0302,-30.5181,13.0302,3.1623,lv-11,0,5.1816,"Concrete, Cast-in-Place gray",0.6096
sw-28,"Concrete 24""",,lv-19,,,,65.07708547,18.5581132,-8.453919818,-5.334,21.94557063,12.76518438,-2.165734259E-15,18.8603056,12.7254,21.60359385,-8.11194304,21.01714765,lv-1,0,5.334,"Concrete, Cast-in-Place gray",0.6096
sw-29,"Concrete 24""",,lv-19,,,,28.89321241,-33.9852,-8.9154,-5.334,-33.3756,5.7785,-1.8034,-33.6804,-8.6106,-33.6804,5.7785,14.3891,lv-11,0,3.5306,"Concrete, Cast-in-Place gray",0.6096
sw-30,"Concrete 24""",,lv-19,,,,23.83924522,-33.6804,-8.9154,-5.334,-15.3162,-8.3058,-1.8034,-33.6804,-8.6106,-15.3162,-8.6106,18.3642,lv-11,0,3.5306,"Concrete, Cast-in-Place gray",0.6096
sw-31,"Concrete 24""",,lv-19,,,,3.412868271,-6.3246,-9.6139,-5.334,-5.715,-8.3058,-1.0541,-6.0198,-8.6106,-6.0198,-9.3091,0.6985,lv-10,0,4.2799,"Concrete, Cast-in-Place gray",0.6096
sw-32,"Concrete 24""",,lv-19,,,,44.76576873,-6.0198,-9.6139,-5.334,12.5302616,-9.0043,-1.0541,-6.0198,-9.3091,12.51028395,-9.3091,18.53008395,lv-10,0,4.2799,"Concrete, Cast-in-Place gray",0.6096
sw-33,"Concrete 24""",,lv-19,,,,27.57920802,12.2682,-9.648401064,-5.334,21.64337823,-7.809750647,-2.165734259E-15,21.60359385,-8.11194304,12.51028395,-9.3091,9.171775712,lv-1,0,5.334,"Concrete, Cast-in-Place gray",0.6096
sw-34,"Concrete 24""",,lv-19,,,,21.36626138,12.2682,12.4206,-5.334,19.20786338,13.0302,-2.165734259E-15,12.2682,12.7254,18.8603056,12.7254,6.592105597,lv-1,0,5.334,"Concrete, Cast-in-Place gray",0.6096
sw-35,"Concrete 24""",,lv-19,,,,6.660063325,-15.0876,12.7254,-5.334,-12.1539,13.335,-1.0541,-15.0876,13.0302,-12.1539,13.0302,2.9337,lv-10,0,4.2799,"Concrete, Cast-in-Place gray",0.6096
sw-36,"Concrete 24""",,lv-19,,,,22.06708258,-15.3162,-8.9154,-5.334,-6.0198,-8.3058,-1.0541,-15.3162,-8.6106,-6.0198,-8.6106,9.2964,lv-1,-1.0541,4.2799,"Concrete, Cast-in-Place gray",0.6096
sw-37,"Concrete 18""",,lv-15,,,,7.130535932,-33.6804,5.5499,-6.985,-30.3657,6.0071,-1.8034,-30.5181,5.7785,-33.6804,5.7785,3.1623,lv-11,0,5.1816,"Concrete, Cast-in-Place gray",0.4572
sw-38,"Concrete 12""",,lv-15,,,,1.908240829,-30.6705,5.7785,-6.985,-30.3657,7.8105,-1.8034,-30.5181,7.8105,-30.5181,5.7785,2.032,lv-11,0,5.1816,"Concrete, Cast-in-Place gray",0.3048
sw-39,"Concrete 24""",,lv-19,,,,59.56242204,-12.1539,12.4206,-5.334,12.2682,13.0302,-1.0541,-12.1539,12.7254,12.2682,12.7254,24.4221,lv-10,0,4.2799,"Concrete, Cast-in-Place gray",0.6096
sw-40,"Concrete 18""",,lv-15,,,,6.558889592,-27.8257,7.6835,-6.985,-27.3685,10.4521,-1.8034,-27.5971,10.3251,-27.5971,7.8105,2.5146,lv-11,0,5.1816,"Concrete, Cast-in-Place gray",0.4572
sw-41,"Concrete 24""",,lv-19,,,,30.06010246,-30.5181,12.4206,-5.334,-15.0876,13.0302,-1.8034,-30.5181,12.7254,-15.0876,12.7254,15.4305,lv-11,0,3.5306,"Concrete, Cast-in-Place gray",0.6096
sw-42,"Concrete 18""",,lv-19,,,,3.589529014,-15.0876,5.5499,-5.334,-12.1539,6.0071,-1.0541,-12.1539,5.7785,-15.0876,5.7785,2.9337,lv-10,0,4.2799,"Concrete, Cast-in-Place gray",0.4572
sw-43,"Concrete 18""",,lv-15,,,,6.060427879,-1.8542,5.5499,-6.985,1.1684,6.0071,-1.0541,-1.7272,5.7785,1.1684,5.7785,2.8956,lv-10,0,5.9309,"Concrete, Cast-in-Place gray",0.4572
sw-44,"Concrete 10""",,lv-15,,,,3.78811565,-1.8542,5.7785,-6.985,-1.6002,8.5217,-1.0541,-1.7272,8.3947,-1.7272,5.7785,2.6162,lv-10,0,5.9309,"Concrete, Cast-in-Place gray",0.254
sw-45,"Concrete 10""",,lv-15,,,,4.502018093,-1.7272,8.2677,-6.985,1.397,8.5217,-1.0541,1.1684,8.3947,-1.7272,8.3947,2.8956,lv-10,0,5.9309,"Concrete, Cast-in-Place gray",0.254
sw-46,"Concrete 18""",,lv-15,,,,7.21622389,0.9398,5.5499,-6.985,1.397,8.3947,-1.0541,1.1684,5.7785,1.1684,8.3947,2.6162,lv-10,0,5.9309,"Concrete, Cast-in-Place gray",0.4572
sw-47,"Concrete 10""",,lv-15,,,,3.342961056,-30.5181,10.1981,-6.985,-27.5971,10.4521,-1.8034,-30.5181,10.3251,-27.5971,10.3251,2.921,lv-11,0,5.1816,"Concrete, Cast-in-Place gray",0.254
sw-48,"Concrete 24""",,lv-15,,,,22.66527596,-33.9852,5.5499,-6.985,-33.3756,13.0302,-1.8034,-33.6804,5.7785,-33.6804,13.0302,7.2517,lv-11,0,5.1816,"Concrete, Cast-in-Place gray",0.6096
sw-49,"Concrete 10""",,lv-11,,,,13.25041608,-30.6705,7.6835,-1.8034,-27.5717,7.9375,21.59,-27.6987,7.8105,-30.5181,7.8105,2.8194,lv-8,0,23.3934,"Concrete, Cast-in-Place gray",0.254
sw-50,"Concrete 12""",,lv-19,,,,4.150187829,12.4968,-6.2865,-5.334,15.4305,-5.9817,-2.165734259E-15,15.4305,-6.1341,12.4968,-6.1341,2.9337,lv-1,0,5.334,"Concrete, Cast-in-Place gray",0.3048
sw-51,"Concrete 18""",,lv-1,,,,9.11280425,-18.1991,-46.49700451,-5.461,-14.76778875,-45.79886498,-0.8636,-14.76778875,-46.26840451,-18.1991,-46.26840451,3.431311254,lv-1,-0.8636,4.5974,"Concrete, Cast-in-Place gray",0.4572
sw-52,"Concrete 18""",,lv-1,,,,39.4666943,-27.9527,-46.49700451,-5.461,-18.1991,-36.74340451,-1.034732842E-15,,,,,,lv-1,-0.8636,4.5974,"Concrete, Cast-in-Place gray",0.4572
sw-53,"Concrete 18""",,lv-1,,,,19.66860907,-20.11643952,-38.65999474,-5.461,-14.46265171,-34.30500451,-3.068904116E-16,,,,,,lv-1,-0.8636,4.5974,"Concrete, Cast-in-Place gray",0.4572
sw-54,"Concrete 18""",,lv-1,,,,40.7541613,-27.9527,-36.74340451,-5.461,-27.25456048,-21.19378048,-0.8636,-27.7241,-21.50536164,-27.7241,-36.74340451,15.23804286,lv-1,-0.8636,4.5974,"Concrete, Cast-in-Place gray",0.4572
sw-55,"Concrete 18""",,lv-1,,,,33.65545783,-20.11643952,-34.30500451,-5.461,-19.4183,-21.42599507,-0.8636,-19.6469,-21.74040396,-19.6469,-34.30500451,12.56460054,lv-1,-0.8636,4.5974,"Concrete, Cast-in-Place gray",0.4572
sw-56,"Concrete 24""",,lv-1,,,,8.50680193,-27.73296577,-22.045075,-2.7178,-19.63803423,-21.20069061,-0.8636,-27.7241,-21.50536164,-19.6469,-21.74040396,8.080619081,lv-1,-0.8636,1.8542,"Concrete, Cast-in-Place gray",0.6096
sw-57,"Concrete 18""",,lv-1,,,,20.56639336,-27.9527,-21.50536164,-5.461,-27.33576109,-8.6106,-2.413,-27.7241,-8.6106,-27.7241,-21.50536164,12.89476164,lv-1,-2.413,3.048,"Concrete, Cast-in-Place gray",0.4572
sw-58,"Concrete 18""",,lv-1,,,,20.95112161,-20.03523891,-21.74040396,-5.461,-19.4183,-8.6106,-2.413,-19.6469,-8.6106,-19.6469,-21.74040396,13.12980396,lv-1,-2.413,3.048,"Concrete, Cast-in-Place gray",0.4572
