id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,x,y,rotation,material,length,width,thickness
e0ca0049-da9c-4b7d-acb9-c4ffd7416a1c-000bfe2b,24x24x25',,4c39681b-779f-4647-a694-a97d9b4603ee-000bcb27,,,0,2.090533037,13.62075,-4.7625,-13.4112,14.23035,-4.1529,-5.7912,13.92555,-4.4577,360,"Concrete, Cast-in-Place gray",0,0,
e0ca0049-da9c-4b7d-acb9-c4ffd7416a1c-000bfea5,24x24x20',,9bb7de5c-5395-4e8d-83ae-c451a0c42cf3-000a6185,,,0,1.605253616,-2.0828,8.1407,-13.4112,-1.4732,8.7503,-7.3152,-1.778,8.4455,360,"Concrete, Cast-in-Place gray",0,0,
e0ca0049-da9c-4b7d-acb9-c4ffd7416a1c-000bfec7,24x24x20',,9bb7de5c-5395-4e8d-83ae-c451a0c42cf3-000a6185,,,0,1.605253616,1.016,8.1407,-13.4112,1.6256,8.7503,-7.3152,1.3208,8.4455,180,"Concrete, Cast-in-Place gray",0,0,
e0ca0049-da9c-4b7d-acb9-c4ffd7416a1c-000bfedd,24x24x20',,9bb7de5c-5395-4e8d-83ae-c451a0c42cf3-000a6185,,,0,1.605253616,1.016,5.3213,-13.4112,1.6256,5.9309,-7.3152,1.3208,5.6261,180,"Concrete, Cast-in-Place gray",0,0,
e0ca0049-da9c-4b7d-acb9-c4ffd7416a1c-000bff11,24x24x20',,9bb7de5c-5395-4e8d-83ae-c451a0c42cf3-000a6185,,,0,1.605253616,-2.0828,5.3213,-13.4112,-1.4732,5.9309,-7.3152,-1.778,5.6261,0,"Concrete, Cast-in-Place gray",0,0,
6096c76f-35e4-456d-8dd3-b1110964bb97-000bffec,24x24x20',,9bb7de5c-5395-4e8d-83ae-c451a0c42cf3-000a6185,,,0,1.608672585,-27.9527,7.4549,-13.4112,-27.3431,8.0645,-7.3152,-27.6479,7.7597,360,"Concrete, Cast-in-Place gray",0,0,
6096c76f-35e4-456d-8dd3-b1110964bb97-000c002c,24x24x20',,9bb7de5c-5395-4e8d-83ae-c451a0c42cf3-000a6185,,,0,1.608672585,-27.9527,10.0711,-13.4112,-27.3431,10.6807,-7.3152,-27.6479,10.3759,360,"Concrete, Cast-in-Place gray",0,0,
6096c76f-35e4-456d-8dd3-b1110964bb97-000c004e,24x24x20',,9bb7de5c-5395-4e8d-83ae-c451a0c42cf3-000a6185,,,0,1.608672585,-30.7467,5.3213,-13.4112,-30.1371,5.9309,-7.3152,-30.4419,5.6261,360,"Concrete, Cast-in-Place gray",0,0,
6096c76f-35e4-456d-8dd3-b1110964bb97-000c007b,24x24x20',,9bb7de5c-5395-4e8d-83ae-c451a0c42cf3-000a6185,,,0,1.608672585,-30.7467,12.954,-13.4112,-30.1371,13.5636,-7.3152,-30.4419,13.2588,360,"Concrete, Cast-in-Place gray",0,0,
6096c76f-35e4-456d-8dd3-b1110964bb97-000c00b6,24x24x20',,9bb7de5c-5395-4e8d-83ae-c451a0c42cf3-000a6185,,,0,1.608672585,-34.2138,5.3213,-13.4112,-33.6042,5.9309,-7.3152,-33.909,5.6261,180,"Concrete, Cast-in-Place gray",0,0,
