id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,start_x,start_y,end_x,end_y,length,start_z,end_z,shape,size_x,size_y,material
bm-18,CB24x30,,,,,0,1.958581889,0.7874,-9.3091,-1.8161,1.397,-1.7653,-1.0541,1.0922,-9.3091,1.0922,-1.7653,7.5438,-1.0541,-1.0541,,,,"Concrete, Cast-in-Place gray"
bm-19,CB24x30,,,,,0,2.170958239,0.7874,-1.7653,-1.8161,1.397,5.7023,-1.0541,1.0922,-1.7653,1.0922,5.7023,7.4676,-1.0541,-1.0541,,,,"Concrete, Cast-in-Place gray"
bm-20,CB24x30,,,,,0,1.207398876,0.7874,8.3947,-1.8161,1.397,12.7254,-1.0541,1.0922,8.3947,1.0922,12.7254,4.3307,-1.0541,-1.0541,,,,"Concrete, Cast-in-Place gray"
bm-21,CB24x30,,,,,0,1.958581889,6.985,-9.3091,-1.8161,7.5946,-1.809139561,-1.0541,7.2898,-9.3091,7.2898,-1.809139561,7.499960439,-1.0541,-1.0541,,,,"Concrete, Cast-in-Place gray"
bm-22,CB24x30,,,,,0,2.170958239,6.985,-1.7653,-1.8161,7.5946,5.8547,-1.0541,7.2898,-1.7653,7.2898,5.8547,7.62,-1.0541,-1.0541,,,,"Concrete, Cast-in-Place gray"
bm-23,CB24x30,,,,,0,1.938917412,6.985,5.901743847,-1.8161,7.5946,12.7254,-1.0541,7.2898,5.901743847,7.2898,12.7254,6.823656153,-1.0541,-1.0541,,,,"Concrete, Cast-in-Place gray"
bm-24,CB24 x51,,,,,0,3.003158897,12.2682,0.7239,-1.3081,12.8778,5.8547,6.361844385E-15,12.573,0.7239,12.573,5.8547,5.1308,0,0,,,,"Concrete, Cast-in-Place gray"
bm-25,CB24 x51,,,,,0,4.023253631,12.2682,4.277529415,-1.3081,12.8778,12.4206,6.361844385E-15,12.573,4.277529415,12.573,12.4206,8.143070585,0,0,,,,"Concrete, Cast-in-Place gray"
bm-26,CB24x24,,,,,0,1.197566637,-12.1539,5.5499,-1.6637,-6.1722,6.1595,-1.0541,-12.1539,5.8547,-6.1722,5.8547,5.9817,-1.0541,-1.0541,,,,"Concrete, Cast-in-Place gray"
bm-27,CB24x24,,,,,0,1.241615065,-27.6606,5.5499,-2.413,-21.336,6.1595,-1.8034,-27.6606,5.8547,-21.336,5.8547,6.3246,-1.8034,-1.8034,,,,"Concrete, Cast-in-Place gray"
bm-28,CB24x24,,,,,0,0.8699564536,-6.1722,5.5499,-1.6637,-1.7272,6.1595,-1.0541,-6.1722,5.8547,-1.7272,5.8547,4.445,-1.0541,-1.0541,,,,"Concrete, Cast-in-Place gray"
bm-29,CB24x24,,,,,0,1.241615065,-27.6606,-2.0701,-2.413,-21.336,-1.4605,-1.8034,-27.6606,-1.7653,-21.336,-1.7653,6.3246,-1.8034,-1.8034,,,,"Concrete, Cast-in-Place gray"
bm-30,CB24x24,,,,,0,1.238862038,-21.336,-2.0701,-2.413,-15.0114,-1.4605,-1.8034,-21.336,-1.7653,-15.0114,-1.7653,6.3246,-1.8034,-1.8034,,,,"Concrete, Cast-in-Place gray"
bm-31,CB24x24,,,,,0,1.783961335,-15.0114,-2.0701,-1.6637,-6.1722,-1.4605,-1.0541,-15.0114,-1.7653,-6.1722,-1.7653,8.8392,-1.0541,-1.0541,,,,"Concrete, Cast-in-Place gray"
bm-32,CB24x24,,,,,0,1.442586018,-6.0198,-2.0701,-1.6637,1.143,-1.4605,-1.0541,-6.0198,-1.7653,1.143,-1.7653,7.1628,-1.0541,-1.0541,,,,"Concrete, Cast-in-Place gray"
bm-33,CB24x24,,,,,0,1.211331771,1.143,-2.0701,-1.6637,7.2898,-1.4605,-1.0541,1.143,-1.7653,7.2898,-1.7653,6.1468,-1.0541,-1.0541,,,,"Concrete, Cast-in-Place gray"
bm-34,CB24x24,,,,,0,1.013113845,7.2898,-2.0701,-1.6637,12.4968,-1.4605,-1.0541,7.2898,-1.7653,12.4968,-1.7653,5.207,-1.0541,-1.0541,,,,"Concrete, Cast-in-Place gray"
bm-35,CB24x24,,,,,0,1.057360043,15.4305,-2.0701,-0.6096,20.76804244,-1.4605,4.432987311E-15,15.4305,-1.7653,20.76804244,-1.7653,5.337542443,-1.710239703E-15,-1.710239703E-15,,,,"Concrete, Cast-in-Place gray"
bm-36,W18x55,,,,,0,0.05314086279,7.2898,5.759069,1.78816,12.573,5.950331,2.3114,7.2898,5.8547,12.573,5.8547,5.2832,2.3114,2.3114,,0,0,Steel
bm-37,W18x55,,,,,0,0.05190001015,7.2898,12.540869,1.78816,12.573,12.732131,2.3114,7.2898,12.6365,12.573,12.6365,5.2832,2.3114,2.3114,,0,0,Steel
bm-38,16K6,,,,,0,0.01061033263,2.273681,5.8547,1.9685,2.346706,12.6365,2.3749,2.3101935,5.8547,2.3101935,12.6365,6.7818,2.3114,2.3114,,,,Steel
bm-39,16K6,,,,,0,0.01061033263,3.4940875,5.8547,1.905,3.5671125,12.6365,2.3114,3.5306,5.8547,3.5306,12.6365,6.7818,2.3114,2.3114,,,,Steel
bm-40,16K6,,,,,0,0.01061033263,4.7132875,5.8547,1.905,4.7863125,12.6365,2.3114,4.7498,5.8547,4.7498,12.6365,6.7818,2.3114,2.3114,,,,Steel
bm-41,16K6,,,,,0,0.01061033263,5.9324875,5.8547,1.905,6.0055125,12.6365,2.3114,5.969,5.8547,5.969,12.6365,6.7818,2.3114,2.3114,,,,Steel
bm-42,16K6,,,,,0,0.01061033263,7.1516875,5.8547,1.905,7.2247125,12.6365,2.3114,7.1882,5.8547,7.1882,12.6365,6.7818,2.3114,2.3114,,,,Steel
bm-43,W18x55,,,,,0,0.05125260878,12.477369,0.7239,1.85166,12.668631,5.8547,2.3114,12.573,0.7239,12.573,5.8547,5.1308,2.3114,2.3114,,0,0,Steel
bm-44,W18x55,,,,,0,0.05347400474,7.2898,0.666369,1.78816,12.573,0.857631,2.3114,7.2898,0.762,12.573,0.762,5.2832,2.3114,2.3114,,0,0,Steel
bm-45,W18x55,,,,,0,0.0269845204,-30.5181,5.759069,1.06426,-27.6733,5.950331,1.524,-30.5181,5.8547,-27.6733,5.8547,2.8448,1.524,1.524,,0,0,Steel
bm-46,W18x55,,,,,0,0.06435808115,-27.6733,5.759069,0.93726,-21.336,5.950331,1.524,-27.6733,5.8547,-21.336,5.8547,6.3373,1.524,1.524,,0,0,Steel
