id,number,base_offset,host_id,position,material,width,height
wn-36,196,0.914,w-49,0.879,glass,3.048,3.048
wn-37,197,0.914,w-49,0.714,glass,3.048,3.048
wn-38,198,0.914,w-49,0.548,glass,3.048,3.048
wn-39,199,0.914,w-49,0.383,glass,3.048,3.048
wn-40,206,0.914,w-49,0.17,glass,1.016,2.54
wn-41,210,3.658,w-49,0.05,glass,0.66,1.067
wn-42,224,0.914,w-51,0.828,glass,2.54,2.032
wn-43,225,0.914,w-51,0.494,glass,2.54,2.032
wn-44,226,0.914,w-51,0.23,glass,2.54,2.032
wn-45,227,0.914,w-50,0.357,glass,1.016,2.54
wn-46,228,0.914,w-50,0.617,glass,1.016,2.54
wn-47,229,0.914,w-50,0.746,glass,1.016,2.54
wn-48,242,0.305,w-52,0.762,glass,5.588,3.81
wn-49,243,0.914,w-50,0.938,glass,1.016,2.54
