id,number,base_offset,start_z,end_z,shape,size_x,size_y,system_type,start_node_id,end_node_id
du-47,,,21.641,21.641,rect,0.305,0.305,hvac,,
du-48,,,21.133,21.184,rect,0.305,0.305,hvac,,
du-49,,,21.133,21.387,rect,0.305,0.305,hvac,,
du-50,,,21.641,21.641,rect,0.305,0.305,hvac,,
du-51,,,21.072,21.387,rect,0.254,0.102,hvac,,
du-52,,,21.072,21.488,rect,0.254,0.102,hvac,,
du-53,,,21.641,21.641,rect,0.254,0.102,hvac,,
du-54,,,21.641,21.641,rect,0.305,0.305,hvac,,
du-55,,,21.133,21.184,rect,0.305,0.305,hvac,,
du-56,,,21.641,21.641,rect,0.305,0.305,hvac,,
du-57,,,21.133,21.184,rect,0.305,0.305,hvac,,
du-58,,,21.641,21.641,rect,0.305,0.305,hvac,,
du-59,,,21.133,21.184,rect,0.305,0.305,hvac,,
du-60,,,21.641,21.641,rect,0.305,0.305,hvac,,
