id,number,base_offset,top_level_id,top_offset,material,thickness
sw-5,,0,lv-6,0,concrete,0.305
sw-6,,0,lv-6,0,concrete,0.305
sw-7,,0,lv-6,0,concrete,0.305
sw-8,,0,lv-6,0,concrete,0.305
