id,number,base_offset,start_z,end_z,shape,size_x,size_y,system_type,start_node_id,end_node_id
pi-165,,,5.185,5.185,round,0.051,0.051,plumbing,,
pi-166,,,5.179,5.461,round,0.025,0.025,plumbing,,
pi-167,,,5.179,5.346,round,0.025,0.025,plumbing,,
pi-168,,,5.486,5.486,round,0.051,0.051,plumbing,,
pi-169,,,5.179,5.346,round,0.025,0.025,plumbing,,
pi-170,,,5.486,5.486,round,0.051,0.051,plumbing,,
pi-171,,,5.486,5.486,round,0.051,0.051,plumbing,,
pi-172,,,5.486,5.486,round,0.051,0.051,plumbing,,
pi-173,,,5.224,5.346,round,0.025,0.025,plumbing,,
pi-174,,,5.486,5.486,round,0.051,0.051,plumbing,,
pi-175,,,5.486,5.486,round,0.051,0.051,plumbing,,
pi-176,,,5.236,5.435,round,0.051,0.051,plumbing,,
pi-177,,,4.737,4.737,round,0.013,0.013,plumbing,,
pi-178,,,5.045,4.752,round,0.013,0.013,plumbing,,
pi-179,,,5.185,5.185,round,0.051,0.051,plumbing,,
pi-180,,,5.185,5.185,round,0.051,0.051,plumbing,,
pi-181,,,5.185,5.185,round,0.051,0.051,plumbing,,
pi-182,,,4.737,4.737,round,0.013,0.013,plumbing,,
pi-183,,,5.045,4.752,round,0.013,0.013,plumbing,,
pi-184,,,5.185,5.185,round,0.051,0.051,plumbing,,
pi-185,,,4.737,4.737,round,0.013,0.013,plumbing,,
pi-186,,,5.045,4.752,round,0.013,0.013,plumbing,,
pi-187,,,5.185,5.185,round,0.051,0.051,plumbing,,
pi-188,,,4.737,4.737,round,0.013,0.013,plumbing,,
pi-189,,,5.045,4.752,round,0.013,0.013,plumbing,,
pi-190,,,5.185,5.185,round,0.051,0.051,plumbing,,
pi-191,,,4.737,4.737,round,0.013,0.013,plumbing,,
pi-192,,,5.045,4.752,round,0.013,0.013,plumbing,,
pi-193,,,5.185,5.185,round,0.051,0.051,plumbing,,
pi-194,,,4.737,4.737,round,0.013,0.013,plumbing,,
pi-195,,,5.045,4.752,round,0.013,0.013,plumbing,,
pi-196,,,5.185,5.185,round,0.051,0.051,plumbing,,
pi-197,,,4.737,4.737,round,0.013,0.013,plumbing,,
pi-198,,,5.045,4.752,round,0.013,0.013,plumbing,,
pi-199,,,5.185,5.185,round,0.051,0.051,plumbing,,
pi-200,,,4.737,4.737,round,0.013,0.013,plumbing,,
pi-201,,,5.045,4.752,round,0.013,0.013,plumbing,,
pi-202,,,5.185,5.185,round,0.051,0.051,plumbing,,
pi-203,,,4.737,4.737,round,0.013,0.013,plumbing,,
pi-204,,,5.045,4.752,round,0.013,0.013,plumbing,,
pi-205,,,5.185,5.185,round,0.051,0.051,plumbing,,
pi-206,,,4.737,4.737,round,0.013,0.013,plumbing,,
pi-207,,,5.045,4.752,round,0.013,0.013,plumbing,,
pi-208,,,5.185,5.185,round,0.051,0.051,plumbing,,
pi-209,,,5.185,5.185,round,0.051,0.051,plumbing,,
pi-210,,,5.185,5.185,round,0.051,0.051,plumbing,,
pi-211,,,4.623,4.623,round,0.013,0.013,plumbing,,
pi-212,,,4.638,5.045,round,0.013,0.013,plumbing,,
pi-213,,,5.185,5.185,round,0.051,0.051,plumbing,,
pi-214,,,4.623,4.623,round,0.013,0.013,plumbing,,
pi-215,,,5.045,4.638,round,0.013,0.013,plumbing,,
pi-216,,,5.185,5.185,round,0.051,0.051,plumbing,,
pi-217,,,4.623,4.623,round,0.013,0.013,plumbing,,
pi-218,,,5.045,4.638,round,0.013,0.013,plumbing,,
pi-219,,,5.185,5.185,round,0.051,0.051,plumbing,,
pi-220,,,5.185,5.185,round,0.051,0.051,plumbing,,
pi-221,,,5.185,5.185,round,0.051,0.051,plumbing,,
pi-222,,,4.623,4.623,round,0.013,0.013,plumbing,,
pi-223,,,4.638,5.045,round,0.013,0.013,plumbing,,
pi-224,,,5.185,5.185,round,0.051,0.051,plumbing,,
pi-225,,,4.623,4.623,round,0.013,0.013,plumbing,,
pi-226,,,5.045,4.638,round,0.013,0.013,plumbing,,
pi-227,,,5.185,5.185,round,0.051,0.051,plumbing,,
pi-228,,,4.623,4.623,round,0.013,0.013,plumbing,,
pi-229,,,5.045,4.638,round,0.013,0.013,plumbing,,
pi-230,,,5.185,5.185,round,0.051,0.051,plumbing,,
pi-231,,,5.791,5.791,round,0.025,0.025,plumbing,,
pi-232,,,5.791,5.791,round,0.025,0.025,plumbing,,
pi-233,,,5.791,5.791,round,0.025,0.025,plumbing,,
pi-234,,,5.791,5.791,round,0.025,0.025,plumbing,,
pi-235,,,4.623,4.623,round,0.013,0.013,plumbing,,
pi-236,,,5.776,4.638,round,0.013,0.013,plumbing,,
pi-237,,,4.623,4.623,round,0.013,0.013,plumbing,,
pi-238,,,5.702,4.638,round,0.013,0.013,plumbing,,
pi-239,,,5.791,5.791,round,0.025,0.025,plumbing,,
pi-240,,,4.623,4.623,round,0.013,0.013,plumbing,,
pi-241,,,4.638,5.702,round,0.013,0.013,plumbing,,
pi-242,,,5.791,5.791,round,0.025,0.025,plumbing,,
pi-243,,,5.791,5.791,round,0.025,0.025,plumbing,,
pi-244,,,5.791,5.791,round,0.025,0.025,plumbing,,
pi-245,,,4.623,4.623,round,0.013,0.013,plumbing,,
pi-246,,,5.776,4.638,round,0.013,0.013,plumbing,,
pi-247,,,4.623,4.623,round,0.013,0.013,plumbing,,
pi-248,,,4.638,5.702,round,0.013,0.013,plumbing,,
pi-249,,,5.791,5.791,round,0.025,0.025,plumbing,,
pi-250,,,4.623,4.623,round,0.013,0.013,plumbing,,
pi-251,,,4.638,5.702,round,0.013,0.013,plumbing,,
pi-252,,,5.791,5.791,round,0.025,0.025,plumbing,,
pi-253,,,4.562,4.013,round,0.051,0.051,plumbing,,
pi-254,,,3.962,3.962,round,0.051,0.051,plumbing,,
pi-255,,,3.962,3.962,round,0.102,0.102,plumbing,,
pi-256,,,3.962,3.962,round,0.102,0.102,plumbing,,
pi-257,,,4.267,4.064,round,0.102,0.102,plumbing,,
pi-258,,,3.962,3.962,round,0.102,0.102,plumbing,,
pi-259,,,3.962,3.962,round,0.102,0.102,plumbing,,
pi-260,,,4.267,4.064,round,0.102,0.102,plumbing,,
pi-261,,,3.962,3.962,round,0.102,0.102,plumbing,,
pi-262,,,3.962,3.962,round,0.102,0.102,plumbing,,
pi-263,,,4.267,4.064,round,0.102,0.102,plumbing,,
pi-264,,,3.962,3.962,round,0.102,0.102,plumbing,,
pi-265,,,3.962,3.962,round,0.102,0.102,plumbing,,
pi-266,,,4.267,4.064,round,0.102,0.102,plumbing,,
pi-267,,,3.962,3.962,round,0.102,0.102,plumbing,,
pi-268,,,3.962,3.962,round,0.102,0.102,plumbing,,
pi-269,,,4.267,4.064,round,0.102,0.102,plumbing,,
pi-270,,,3.962,3.962,round,0.102,0.102,plumbing,,
pi-271,,,3.962,3.962,round,0.102,0.102,plumbing,,
pi-272,,,4.267,4.064,round,0.102,0.102,plumbing,,
pi-273,,,3.962,3.962,round,0.102,0.102,plumbing,,
pi-274,,,3.962,3.962,round,0.102,0.102,plumbing,,
pi-275,,,3.962,3.962,round,0.102,0.102,plumbing,,
pi-276,,,3.962,3.962,round,0.102,0.102,plumbing,,
pi-277,,,3.962,3.962,round,0.102,0.102,plumbing,,
pi-278,,,4.267,4,round,0.038,0.038,plumbing,,
pi-279,,,3.962,3.962,round,0.038,0.038,plumbing,,
pi-280,,,3.962,3.962,round,0.102,0.102,plumbing,,
pi-281,,,4.267,4,round,0.038,0.038,plumbing,,
pi-282,,,3.962,3.962,round,0.038,0.038,plumbing,,
pi-283,,,3.962,3.962,round,0.102,0.102,plumbing,,
pi-284,,,4.267,4,round,0.038,0.038,plumbing,,
pi-285,,,3.962,3.962,round,0.038,0.038,plumbing,,
pi-286,,,3.962,3.962,round,0.102,0.102,plumbing,,
pi-287,,,3.962,3.962,round,0.102,0.102,plumbing,,
pi-288,,,3.962,3.962,round,0.102,0.102,plumbing,,
pi-289,,,4.267,4,round,0.038,0.038,plumbing,,
pi-290,,,3.962,3.962,round,0.038,0.038,plumbing,,
pi-291,,,3.962,3.962,round,0.102,0.102,plumbing,,
pi-292,,,4.267,4,round,0.038,0.038,plumbing,,
pi-293,,,3.962,3.962,round,0.038,0.038,plumbing,,
pi-294,,,3.962,3.962,round,0.102,0.102,plumbing,,
pi-295,,,4.267,4,round,0.038,0.038,plumbing,,
pi-296,,,3.962,3.962,round,0.038,0.038,plumbing,,
pi-297,,,3.962,3.962,round,0.102,0.102,plumbing,,
pi-298,,,4.516,4.013,round,0.051,0.051,plumbing,,
pi-299,,,3.962,3.962,round,0.051,0.051,plumbing,,
pi-300,,,3.962,3.962,round,0.102,0.102,plumbing,,
pi-301,,,4.516,4.013,round,0.051,0.051,plumbing,,
pi-302,,,3.962,3.962,round,0.051,0.051,plumbing,,
pi-303,,,3.962,3.962,round,0.102,0.102,plumbing,,
pi-304,,,4.516,4.013,round,0.051,0.051,plumbing,,
pi-305,,,3.962,3.962,round,0.051,0.051,plumbing,,
pi-306,,,3.962,3.962,round,0.102,0.102,plumbing,,
pi-307,,,3.962,3.962,round,0.102,0.102,plumbing,,
pi-308,,,3.962,3.962,round,0.102,0.102,plumbing,,
pi-309,,,3.962,3.962,round,0.102,0.102,plumbing,,
pi-310,,,3.962,3.962,round,0.102,0.102,plumbing,,
pi-311,,,3.962,3.962,round,0.102,0.102,plumbing,,
pi-312,,,3.962,3.962,round,0.102,0.102,plumbing,,
pi-313,,,4.267,4.064,round,0.102,0.102,plumbing,,
pi-314,,,3.962,3.962,round,0.102,0.102,plumbing,,
pi-315,,,3.962,3.962,round,0.102,0.102,plumbing,,
pi-316,,,4.267,4.064,round,0.102,0.102,plumbing,,
pi-317,,,3.962,3.962,round,0.102,0.102,plumbing,,
pi-318,,,3.962,3.962,round,0.102,0.102,plumbing,,
pi-319,,,4.267,4.064,round,0.102,0.102,plumbing,,
pi-320,,,3.962,3.962,round,0.102,0.102,plumbing,,
pi-321,,,3.962,3.962,round,0.102,0.102,plumbing,,
pi-322,,,4.267,4.064,round,0.102,0.102,plumbing,,
pi-323,,,3.962,3.962,round,0.102,0.102,plumbing,,
pi-324,,,3.962,3.962,round,0.102,0.102,plumbing,,
pi-848,,,4.686,4.686,round,0.102,0.102,plumbing,,
pi-849,,,5.963,5.988,round,0.032,0.032,plumbing,,
pi-850,,,6.02,6.02,round,0.032,0.032,plumbing,,
pi-851,,,4.893,5.988,round,0.032,0.032,plumbing,,
pi-852,,,4.686,4.686,round,0.102,0.102,plumbing,,
pi-853,,,4.686,4.686,round,0.102,0.102,plumbing,,
pi-854,,,5.963,5.988,round,0.032,0.032,plumbing,,
pi-855,,,6.02,6.02,round,0.032,0.032,plumbing,,
pi-856,,,4.893,5.988,round,0.032,0.032,plumbing,,
pi-857,,,4.686,4.686,round,0.102,0.102,plumbing,,
pi-858,,,3.658,3.658,round,0.102,0.102,plumbing,,
pi-860,,,4.686,4.686,round,0.102,0.102,plumbing,,
pi-861,,,3.76,4.584,round,0.102,0.102,plumbing,,
pi-862,,,3.658,3.658,round,0.102,0.102,plumbing,,
