id,number,base_offset,system_type
mn-156,,1.219,plumbing
mn-157,,1.219,plumbing
mn-158,,1.219,plumbing
mn-159,,1.219,plumbing
mn-160,,1.219,plumbing
mn-161,,1.155,plumbing
mn-162,,1.219,plumbing
mn-163,,1.155,plumbing
mn-164,,1.219,plumbing
mn-165,,1.219,plumbing
mn-166,,1.155,plumbing
mn-167,,0.918,plumbing
mn-168,,1.219,plumbing
mn-169,,0.918,plumbing
mn-170,,0.854,plumbing
mn-171,,0.47,plumbing
mn-172,,0.918,plumbing
mn-173,,0.918,plumbing
mn-174,,0.918,plumbing
mn-175,,0.918,plumbing
mn-176,,0.854,plumbing
mn-177,,0.47,plumbing
mn-178,,0.918,plumbing
mn-179,,0.854,plumbing
mn-180,,0.47,plumbing
mn-181,,0.918,plumbing
mn-182,,0.854,plumbing
mn-183,,0.47,plumbing
mn-184,,0.918,plumbing
mn-185,,0.854,plumbing
mn-186,,0.47,plumbing
mn-187,,0.918,plumbing
mn-188,,0.854,plumbing
mn-189,,0.47,plumbing
mn-190,,0.918,plumbing
mn-191,,0.854,plumbing
mn-192,,0.47,plumbing
mn-193,,0.918,plumbing
mn-194,,0.854,plumbing
mn-195,,0.47,plumbing
mn-196,,0.918,plumbing
mn-197,,0.854,plumbing
mn-198,,0.47,plumbing
mn-199,,0.918,plumbing
mn-200,,0.854,plumbing
mn-201,,0.47,plumbing
mn-202,,0.918,plumbing
mn-203,,0.918,plumbing
mn-204,,0.356,plumbing
mn-205,,0.918,plumbing
mn-206,,0.854,plumbing
mn-207,,0.918,plumbing
mn-208,,0.854,plumbing
mn-209,,0.356,plumbing
mn-210,,0.918,plumbing
mn-211,,0.854,plumbing
mn-212,,0.356,plumbing
mn-213,,0.918,plumbing
mn-214,,0.918,plumbing
mn-215,,0.356,plumbing
mn-216,,0.918,plumbing
mn-217,,0.854,plumbing
mn-218,,0.918,plumbing
mn-219,,0.854,plumbing
mn-220,,0.356,plumbing
mn-221,,0.918,plumbing
mn-222,,0.854,plumbing
mn-223,,0.356,plumbing
mn-224,,1.524,plumbing
mn-225,,1.524,plumbing
mn-226,,1.524,plumbing
mn-227,,1.524,plumbing
mn-228,,1.524,plumbing
mn-229,,1.524,plumbing
mn-230,,1.524,plumbing
mn-231,,0.356,plumbing
mn-232,,1.524,plumbing
mn-233,,1.486,plumbing
mn-234,,0.356,plumbing
mn-235,,0.356,plumbing
mn-236,,1.524,plumbing
mn-237,,1.486,plumbing
mn-238,,1.524,plumbing
mn-239,,1.524,plumbing
mn-240,,1.524,plumbing
mn-241,,0.356,plumbing
mn-242,,0.356,plumbing
mn-243,,1.524,plumbing
mn-244,,1.486,plumbing
mn-245,,0.356,plumbing
mn-246,,1.524,plumbing
mn-247,,1.486,plumbing
mn-248,,-0.305,plumbing
mn-249,,-0.305,plumbing
mn-250,,-0.305,plumbing
mn-251,,-0.305,plumbing
mn-252,,-0.305,plumbing
mn-253,,-0.305,plumbing
mn-254,,-0.305,plumbing
mn-255,,-0.305,plumbing
mn-256,,-0.305,plumbing
mn-257,,-0.305,plumbing
mn-258,,-0.305,plumbing
mn-259,,-0.305,plumbing
mn-260,,-0.305,plumbing
mn-261,,-0.305,plumbing
mn-262,,-0.305,plumbing
mn-263,,-0.305,plumbing
mn-264,,-0.305,plumbing
mn-265,,-0.305,plumbing
mn-266,,-0.305,plumbing
mn-267,,-0.305,plumbing
mn-268,,-0.305,plumbing
mn-269,,-0.305,plumbing
mn-270,,-0.305,plumbing
mn-271,,-0.305,plumbing
mn-272,,-0.305,plumbing
mn-273,,-0.305,plumbing
mn-274,,-0.305,plumbing
mn-275,,-0.305,plumbing
mn-276,,-0.305,plumbing
mn-277,,-0.305,plumbing
mn-278,,-0.305,plumbing
mn-279,,-0.305,plumbing
mn-280,,-0.305,plumbing
mn-281,,-0.305,plumbing
mn-282,,-0.305,plumbing
mn-283,,-0.305,plumbing
mn-284,,-0.305,plumbing
mn-285,,-0.305,plumbing
mn-286,,-0.305,plumbing
mn-287,,-0.305,plumbing
mn-288,,-0.305,plumbing
mn-289,,-0.305,plumbing
mn-290,,-0.305,plumbing
mn-291,,-0.305,plumbing
mn-292,,-0.305,plumbing
mn-293,,-0.305,plumbing
mn-294,,-0.305,plumbing
mn-295,,-0.305,plumbing
mn-296,,-0.305,plumbing
mn-297,,-0.305,plumbing
mn-298,,-0.305,plumbing
mn-299,,-0.305,plumbing
mn-300,,-0.305,plumbing
mn-301,,-0.305,plumbing
mn-302,,-0.305,plumbing
mn-303,,-0.305,plumbing
mn-304,,-0.305,plumbing
mn-305,,-0.305,plumbing
mn-306,,-0.305,plumbing
mn-307,,-0.305,plumbing
mn-308,,-0.305,plumbing
mn-309,,-0.305,plumbing
mn-310,,-0.305,plumbing
mn-817,,0.419,plumbing
mn-818,,0.524,plumbing
mn-819,,1.753,plumbing
mn-820,,1.753,plumbing
mn-821,,0.419,plumbing
mn-822,,0.419,plumbing
mn-823,,0.419,plumbing
mn-824,,0.524,plumbing
mn-825,,1.753,plumbing
mn-826,,1.753,plumbing
mn-827,,0.419,plumbing
mn-828,,-0.61,plumbing
mn-829,,-0.61,plumbing
mn-830,,0.419,plumbing
mn-831,,-0.61,plumbing
mn-832,,0.419,plumbing
mn-833,,-0.61,plumbing
mn-834,,-0.61,plumbing
