id,number,base_offset,x,y,name
sp-3,E1,,-29.082,8.643,Elevator E1
sp-4,P01,,-6.263,1.774,Parking Garage P01
sp-5,P05,,18.352,-6.299,Utility P05
sp-6,P02,,-29.104,11.198,Machine RM P02
sp-7,P03,,-0.103,9.476,Machine RM P03
sp-8,P04,,-0.103,11.356,Storage P04
