id,number,base_offset,system_type
mn-16,,3.658,hvac
mn-17,,3.658,hvac
mn-18,,3.505,hvac
mn-19,,3.505,hvac
mn-20,,3.658,hvac
mn-21,,3.658,hvac
mn-22,,3.658,hvac
mn-23,,3.658,hvac
mn-24,,3.658,hvac
mn-25,,3.658,hvac
mn-26,,3.658,hvac
mn-27,,3.658,hvac
mn-28,,3.658,hvac
mn-29,,3.658,hvac
mn-30,,3.658,hvac
