id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,start_x,start_y,end_x,end_y,length,start_z,end_z,shape,size_x,size_y,system_type,start_node_id,end_node_id
ee75abd3-0b00-4374-8f65-b8d52f0bb76e-0014d69e,Tees,,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,,0.003294649583,-10.97851877,-2.9644875,5.132508088,-10.77531877,-2.8628875,5.335708088,-10.87691877,-2.8628875,-10.87691877,-2.9644875,0.1016,5.234108088,5.234108088,round,0.2032,0.2032,hvac,0b202da0-7e91-481c-adf0-ed84186e6285-00150c2d,0b202da0-7e91-481c-adf0-ed84186e6285-00150bd3
ee75abd3-0b00-4374-8f65-b8d52f0bb76e-0014d6b7,Tees,,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,,0.004941974375,-11.48651877,-2.6596875,5.132508088,-11.28331877,-2.5072875,5.335708088,-11.38491877,-2.5072875,-11.38491877,-2.6596875,0.1524,5.234108088,5.234108088,round,0.2032,0.2032,hvac,ee75abd3-0b00-4374-8f65-b8d52f0bb76e-0014d4c4,507f37c6-d7e4-4fa6-a594-d3a07a01ac04-0015172f
0b202da0-7e91-481c-adf0-ed84186e6285-00150c2e,Tees,,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,,0.003294649583,-10.97851877,-2.6088875,5.132508088,-10.77531877,-2.5072875,5.335708088,-10.87691877,-2.5072875,-10.87691877,-2.6088875,0.1016,5.234108088,5.234108088,round,0.2032,0.2032,hvac,0b202da0-7e91-481c-adf0-ed84186e6285-00150c2d,ee75abd3-0b00-4374-8f65-b8d52f0bb76e-0014d4c4
507f37c6-d7e4-4fa6-a594-d3a07a01ac04-001516e0,Mitered Elbows / Taps,,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,,0.0862615049,-12.785725,-3.22331636,2.6162,-12.684125,-2.86771636,5.0038,-12.734925,-3.04551636,-12.734925,-3.04551636,2.3876,2.6162,5.0038,rect,0.3556,0.1016,hvac,507f37c6-d7e4-4fa6-a594-d3a07a01ac04-00151743,507f37c6-d7e4-4fa6-a594-d3a07a01ac04-0015170c
507f37c6-d7e4-4fa6-a594-d3a07a01ac04-00151701,Mitered Elbows / Taps,,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,,0.02477724077,-12.658725,-3.22331636,5.0292,-11.972925,-2.86771636,5.1308,-12.658725,-3.04551636,-11.972925,-3.04551636,0.6858,5.08,5.08,rect,0.3556,0.1016,hvac,507f37c6-d7e4-4fa6-a594-d3a07a01ac04-0015170c,507f37c6-d7e4-4fa6-a594-d3a07a01ac04-00151732
507f37c6-d7e4-4fa6-a594-d3a07a01ac04-00151cdf,Taps,,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,,0.01673367321,-10.77522483,3.194375,5.0546,-10.67362483,5.258498853,5.1562,-10.72442483,3.194375,-10.72442483,5.258498853,2.064123853,5.1054,5.1054,round,0.1016,0.1016,hvac,2707bbd2-db0c-4034-9366-37a5081a23bf-00152b48,507f37c6-d7e4-4fa6-a594-d3a07a01ac04-00151ce5
507f37c6-d7e4-4fa6-a594-d3a07a01ac04-00151dc2,Tees,,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,,0.01688810991,-10.96096269,3.057458862,5.0546,-10.85936269,5.140632715,5.1562,-10.91016269,3.057458862,-10.91016269,5.140632715,2.083173853,5.1054,5.1054,round,0.1016,0.1016,hvac,507f37c6-d7e4-4fa6-a594-d3a07a01ac04-00151dd1,2707bbd2-db0c-4034-9366-37a5081a23bf-00152a29
507f37c6-d7e4-4fa6-a594-d3a07a01ac04-00151edd,Tees,,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,,0.01489658219,-9.83615,4.706925,5.2614,-9.63295,5.166303976,5.4646,-9.73455,4.706925,-9.73455,5.166303976,0.4593789755,5.363,5.363,round,0.2032,0.2032,hvac,2707bbd2-db0c-4034-9366-37a5081a23bf-00153a3c,4c0c00b4-f00b-4eac-b2f9-977c41681002-0014d87e
507f37c6-d7e4-4fa6-a594-d3a07a01ac04-001520cb,Taps,,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,,0.002433281409,-11.15983507,6.088322533,5.086701507,-11.05823507,6.286452285,5.403498493,-11.10903507,6.136058918,-11.10903507,6.2387159,0.3001489354,5.10407613,5.38612387,round,0.1016,0.1016,hvac,507f37c6-d7e4-4fa6-a594-d3a07a01ac04-001520e1,507f37c6-d7e4-4fa6-a594-d3a07a01ac04-001520d6
507f37c6-d7e4-4fa6-a594-d3a07a01ac04-00152118,Tees,,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,,0.002581337024,-11.68454742,6.104638357,5.4356,-11.35799469,6.351832448,5.5372,-11.38339469,6.148632448,-11.65914742,6.307838357,0.318411819,5.4864,5.4864,round,0.1016,0.1016,hvac,507f37c6-d7e4-4fa6-a594-d3a07a01ac04-00152131,507f37c6-d7e4-4fa6-a594-d3a07a01ac04-00152125
