id,number,base_offset,mesh_file,host_id,position,material,width,height,operation,hinge_position,swing_side
d-41,326,0,,w-62,2.699,composite,0.915,2.134,single_swing,start,right
d-42,327,0,,cw-27,0.463,glass,0.915,2.134,,end,left
d-43,312,0,,cw-28,2.377,glass,0.915,2.134,,start,left
d-44,309,0,,w-63,1.842,composite,0.915,2.134,single_swing,start,right
d-45,310,0,,w-63,3.158,composite,0.915,2.134,single_swing,end,right
d-46,308,0,,w-71,4.82,composite,0.915,2.134,single_swing,start,left
d-47,307,0,,w-71,0.558,composite,0.915,2.134,single_swing,end,left
d-48,301,0,,cw-29,0.463,glass,0.915,2.134,,end,right
d-70,306,0,,w-77,1.158,composite,0.915,2.134,single_swing,end,right
d-71,305B,0,,w-77,9.727,composite,0.915,2.134,single_swing,end,right
d-72,305A,0,,w-77,16.412,composite,0.915,2.134,single_swing,start,right
d-73,304B,0,,w-77,17.727,composite,0.915,2.134,single_swing,end,right
d-74,304A,0,,w-77,22.412,composite,0.915,2.134,single_swing,start,right
d-75,303B,0,,w-77,23.727,composite,0.915,2.134,single_swing,end,right
d-76,303A,0,,w-77,30.412,composite,0.915,2.134,single_swing,start,right
d-77,302B,0,,w-79,6.848,composite,0.915,2.134,single_swing,start,left
d-78,302A,0,,w-77,40.225,composite,0.915,2.134,single_swing,start,right
d-79,320B,0,,w-117,6.823,composite,0.915,2.134,single_swing,start,left
d-80,320A,0,,w-67,10.668,glass,0.915,2.134,single_swing,start,right
d-81,319,0,,w-67,11.983,glass,0.915,2.134,single_swing,end,right
d-82,317,0,,w-67,19.268,composite,0.915,2.134,single_swing,start,right
d-83,315,0,,w-67,25.383,glass,0.915,2.134,single_swing,start,right
d-84,314,0,,w-67,26.653,glass,0.915,2.134,single_swing,end,right
d-85,313A,0,,w-67,36.653,composite,0.915,2.134,single_swing,end,right
d-86,313B,0,,w-112,6.623,composite,0.915,2.134,single_swing,start,left
d-87,316,0,,w-115,6.358,composite,0.915,2.134,single_swing,end,left
d-88,321,0,,w-62,24.87,glass,1.83,2.134,double_swing,end,right
d-89,323,0,,w-62,16.09,composite,1.73,2.134,double_swing,start,left
d-90,322,0,,w-62,22.163,glass,0.915,2.134,single_swing,start,right
d-91,324,0,,w-62,9.114,composite,0.915,2.134,single_swing,end,right
d-92,325,0,,w-62,7.799,composite,0.915,2.134,single_swing,start,right
