id,number,base_offset,mesh_file,material,height_offset
cl-44,,,,composite,2.6
cl-45,,,,composite,2.6
cl-46,,,,composite,2.6
cl-47,,,,composite,2.6
cl-48,,,,composite,2.6
cl-49,,,,composite,2.6
cl-50,,,,composite,2.6
cl-51,,,,composite,2.6
cl-52,,,,composite,2.6
cl-53,,,,composite,2.6
cl-54,,,,composite,2.6
cl-55,,,,composite,2.6
cl-56,,,,composite,2.6
cl-57,,,,composite,2.6
cl-58,,,,composite,2.6
cl-59,,,,composite,2.6
cl-60,,,,composite,2.6
cl-61,,,,composite,2.6
cl-62,,,,composite,2.6
cl-63,,,,steel,3.762
