id,number,base_offset,start_z,end_z,top_level_id,top_offset,width,step_count
st-10,,0,,,lv-13,0.445,0.279,3
st-11,,0,,,lv-4,0,0.279,20
st-18,,0,,,lv-13,0.305,0.279,2
st-19,,0.305,,,lv-4,0,0.279,19
st-24,,0.737,,,lv-1,0.038,0.305,2
