id,number,base_offset,top_level_id,top_offset,material
w-19,,,lv-4,-0.762,Metal Stud Layer
w-20,,,lv-4,0,Metal Stud Layer
w-21,,,lv-4,-0.762,Metal Stud Layer
w-24,,,lv-4,-0.762,Metal Stud Layer
w-25,,,lv-15,0,"Concrete, Cast-in-Place gray"
w-35,,,lv-2,0,Metal Stud Layer
w-49,,,lv-4,-0.152,Metal Stud Layer
w-52,,,lv-15,0,"Concrete, Cast-in-Place gray"
w-62,,,lv-4,-0.152,Metal Stud Layer
w-63,,,lv-4,-0.152,Metal Stud Layer
w-92,,,lv-15,0,"Concrete, Cast-in-Place gray"
w-93,,,lv-15,0,"Concrete, Cast-in-Place gray"
w-246,,,lv-4,0,"Concrete, Cast-in-Place gray"
w-247,,,lv-4,0,"Concrete, Cast-in-Place gray"
w-248,,,lv-4,0,"Concrete, Cast-in-Place gray"
w-250,,,lv-15,0,"Concrete, Cast-in-Place gray"
w-251,,,lv-11,-0.152,Metal Stud Layer
w-252,,,lv-11,-0.152,Metal Stud Layer
w-253,,,lv-4,-0.152,Metal Stud Layer
w-254,,,lv-11,-0.152,Metal Stud Layer
w-255,,,lv-11,-0.152,Metal Stud Layer
w-258,,,lv-4,-0.152,Metal Stud Layer
w-304,,,lv-15,0,"Concrete, Cast-in-Place gray"
w-360,,,lv-4,0,Metal Furring
w-367,,,lv-4,0,"Concrete, Cast-in-Place gray"
w-409,,,lv-4,-0.152,Metal Furring
w-410,,,lv-4,-0.152,Metal Furring
w-417,,,lv-2,-0.152,Metal Furring
w-419,,,lv-4,-0.152,Metal Furring
w-421,,,lv-4,-0.152,Metal Furring
w-424,,,lv-4,-0.152,Metal Furring
w-438,,,lv-4,-0.152,Metal Furring
w-439,,,lv-4,0,Metal Furring
w-558,,,lv-2,-0.152,Metal Furring
w-559,,,lv-2,-0.152,Metal Furring
w-560,,,lv-2,0,Metal Stud Layer
w-563,,,lv-2,0,Metal Furring
w-571,,,lv-4,-0.152,Metal Stud Layer
w-572,,,lv-4,-0.152,Metal Stud Layer
w-573,,,lv-4,-0.152,Metal Stud Layer
w-574,,,lv-4,-0.152,Metal Stud Layer
w-575,,,lv-4,-0.152,Metal Furring
w-580,,,lv-4,-0.152,Metal Stud Layer
w-581,,,lv-4,-0.152,Metal Stud Layer
w-582,,,lv-4,-0.152,Metal Stud Layer
w-595,,,lv-4,0,Metal Furring
w-596,,,lv-4,-0.152,Metal Furring
w-597,,,lv-4,-0.152,Metal Furring
w-624,,,lv-4,-1.727,Air
w-625,,,lv-4,-0.762,Air
w-626,,,lv-15,0,Air
w-627,,,lv-11,0,Air
w-628,,,lv-11,0,Air
w-647,,,lv-4,0,Metal Furring
w-650,,,lv-4,0.737,Metal Stud Layer
w-672,,,lv-4,0,Metal Furring
w-673,,,lv-2,-0.152,Metal Furring
w-683,,,lv-4,0,Metal Stud Layer
w-695,,,lv-4,0,Metal Furring
w-697,,,lv-1,-0.305,Metal Furring
w-898,,,lv-4,-0.152,Metal Furring
w-899,,,lv-4,-0.152,Metal Furring
w-900,,,lv-4,-0.152,Metal Furring
w-984,,,lv-1,-0.444,Metal Furring
w-985,,,lv-1,-0.444,Metal Furring
w-986,,,lv-1,-0.444,Metal Furring
w-987,,,lv-1,-0.444,Metal Furring
w-988,,,lv-1,-0.444,Metal Furring
w-1063,,,lv-4,-0.152,Metal Stud Layer
w-1064,,,lv-4,-0.152,Metal Stud Layer
