id,number,base_offset,top_level_id,top_offset,material,shape,size_x,size_y
c-1,,0,lv-4,0.737,,rect,0.581,0.678
c-2,,0,lv-4,0.737,,rect,0.581,0.678
c-3,,0,lv-4,0.737,,rect,0.581,0.678
c-4,,0,lv-4,0.737,,rect,0.581,0.678
c-7,,0,lv-4,-0.152,Gypsum Wall Board,rect,0.61,0.61
c-8,,0,lv-5,-0.152,Gypsum Wall Board,rect,0.61,0.61
c-9,,0,lv-5,-0.152,Gypsum Wall Board,rect,0.61,0.61
c-12,,0,lv-2,-0.152,Gypsum Wall Board,rect,0.61,0.61
c-13,,0,lv-4,-0.152,Gypsum Wall Board,rect,0.61,0.61
c-14,,0,lv-4,0,Gypsum Wall Board,rect,0.61,0.61
c-20,,0,lv-5,-0.152,Gypsum Wall Board,rect,0.61,0.61
c-21,,0,lv-5,-0.152,Gypsum Wall Board,rect,0.61,0.61
c-73,,-0,lv-4,-0.152,Gypsum Wall Board,rect,0.559,0.61
c-74,,-0,lv-4,-0.152,Gypsum Wall Board,rect,0.508,0.61
c-78,,0,lv-5,0,Gypsum Wall Board,rect,0.61,0.508
c-82,,0,lv-5,0,Metal Furring,rect,0.61,0.508
c-86,,0,lv-4,-0.152,Gypsum Wall Board,rect,0.457,0.457
