id,number,base_offset,system_type,equipment_type
eq-15,22,0,,
eq-16,23,0,,
eq-17,24,0,,
eq-18,25,0,,
eq-26,33,0,,
eq-27,37,-0,,
eq-28,38,-0,,
eq-29,39,-0,,
eq-30,40,-0,,
eq-31,41,-0,,
eq-32,42,-0,,
eq-33,43,0,,
eq-34,44,0,,
eq-35,45,0,,
eq-36,46,0,,
eq-37,47,0,,
eq-38,48,0,,
eq-42,52,0,,
eq-43,53,0,,
eq-44,54,0,,
eq-48,58,0,,
eq-49,59,0,,
eq-53,63,0,,
eq-54,64,0,,
eq-56,66,-0,,
eq-57,67,-0,,
eq-58,68,0,,
eq-59,69,0,,
eq-60,70,0,,
eq-65,75,0,,
eq-66,76,0,,
eq-67,77,0,,
eq-68,78,0,,
eq-69,79,0,,
eq-73,83,0,,
eq-74,84,0,,
eq-75,85,0,,
eq-76,86,0,,
eq-77,87,0,,
eq-81,91,0,,
eq-82,92,0,,
eq-83,93,0,,
eq-84,94,0,,
eq-85,95,0,,
eq-88,98,0,,
eq-89,99,0,,
eq-90,100,0,,
eq-91,101,0,,
eq-92,102,0,,
eq-97,107,0,,
eq-98,108,0,,
eq-99,109,0,,
eq-100,110,0,,
eq-104,114,0,,
eq-105,115,0,,
eq-106,116,0,,
eq-107,117,0,,
eq-110,120,0,,
eq-112,122,0,,
eq-113,123,0,,
eq-114,124,0,,
eq-115,125,0,,
eq-116,126,0,,
eq-117,127,0,,
eq-118,128,0,,
eq-119,129,0,,
eq-120,130,0,,
eq-124,134,0,,
eq-125,135,0,,
eq-126,136,0,,
eq-127,137,0,,
eq-128,138,0,,
eq-129,139,0,,
eq-130,140,-1.067,,
eq-131,141,0,,
eq-132,142,0,,
eq-133,143,0,,
eq-134,144,0,,
eq-135,145,0,,
eq-136,146,0,,
eq-137,147,0,,
eq-138,148,0,,
eq-139,149,0,,
eq-140,150,0,,
eq-141,151,0,,
eq-142,152,0,,
eq-143,153,0,,
eq-144,154,0,,
eq-145,155,0,,
eq-146,156,0,,
eq-147,157,0,,
eq-148,158,0,,
eq-149,159,0,,
eq-176,191,-0,,
