id,number,base_offset,start_z,end_z,shape,size_x,size_y,system_type
co-19,,,17.17,17.17,,,,
co-20,,,18.606,17.564,,,,
co-21,,,17.17,17.17,,,,
co-22,,,17.17,17.17,,,,
co-23,,,17.17,17.17,,,,
co-24,,,17.17,17.17,,,,
co-25,,,18.606,17.564,,,,
co-26,,,17.17,17.17,,,,
co-27,,,17.17,17.17,,,,
co-28,,,18.606,17.564,,,,
co-29,,,17.17,17.17,,,,
co-30,,,17.17,17.17,,,,
co-31,,,17.17,17.17,,,,
co-32,,,17.17,17.17,,,,
co-33,,,17.17,17.17,,,,
co-34,,,17.17,17.17,,,,
co-35,,,18.606,17.564,,,,
co-37,,,17.17,17.17,,,,
co-38,,,17.17,17.17,,,,
co-39,,,18.983,18.983,,,,
co-40,,,18.983,18.983,,,,
co-41,,,18.983,18.983,,,,
co-42,,,18.983,18.983,,,,
co-43,,,18.983,18.983,,,,
co-44,,,18.983,18.983,,,,
co-45,,,18.983,18.983,,,,
co-46,,,17.17,17.17,,,,
co-47,,,18.606,17.564,,,,
co-49,,,17.17,17.17,,,,
co-50,,,18.606,17.564,,,,
co-52,,,17.17,17.17,,,,
co-53,,,18.606,17.564,,,,
co-55,,,17.17,17.17,,,,
co-56,,,17.17,17.17,,,,
co-57,,,17.17,17.17,,,,
co-58,,,17.17,17.17,,,,
co-59,,,17.17,17.17,,,,
co-60,,,17.17,17.17,,,,
co-61,,,17.932,17.475,,,,
co-62,,,17.475,17.932,,,,
co-63,,,17.475,17.932,,,,
co-64,,,17.475,17.932,,,,
co-65,,,17.17,17.17,,,,
co-66,,,16.866,16.866,,,,
co-67,,,17.17,17.17,,,,
co-68,,,16.866,16.866,,,,
co-69,,,17.08,16.956,,,,
co-70,,,17.08,16.956,,,,
co-71,,,17.08,16.956,,,,
co-72,,,17.08,16.956,,,,
co-73,,,17.17,17.17,,,,
co-74,,,16.866,16.866,,,,
co-75,,,17.08,16.956,,,,
co-76,,,17.08,16.956,,,,
co-267,,,18.593,17.412,,,,
