id,number,base_offset,material,function,thickness
ss-20,,-0.457,steel,floor,0.038
ss-21,,-0.457,steel,floor,0.038
ss-22,,-0.457,steel,floor,0.038
ss-23,,-0.457,steel,floor,0.038
ss-24,,-0.457,steel,floor,0.038
