id,number,base_offset,system_type,equipment_type
eq-3,9,0,,
eq-9,15,-0,,
eq-10,16,0,,
eq-163,178,0,,
eq-164,179,0,,
eq-165,180,0,,
eq-166,181,0,,
eq-168,183,-0,,
eq-170,185,2.997,,
