id,number,base_offset,system_type,terminal_type
tm-2,27,-0,,
tm-4,29,-0,,
tm-8,33,-0,,
tm-9,34,0.305,,
tm-12,37,-0,,
tm-13,38,0.305,,
tm-24,59,0,,
tm-25,60,0,,
tm-26,61,0,,
tm-27,62,0,,
tm-28,63,0,,
tm-29,64,0,,
tm-30,65,0,,
tm-31,66,0,,
tm-44,79,0,,
tm-45,80,0,,
tm-46,81,0,,
tm-47,82,0,,
tm-50,85,0,,
tm-89,144,-0,,
tm-90,145,-0,,
tm-91,146,0.305,,
tm-104,169,-0,,
tm-105,170,-0,,
tm-106,171,0.305,,
tm-110,175,-0,,
tm-111,176,-0,,
tm-112,177,0.305,,
tm-180,282,0,,
tm-186,290,0,,
tm-226,332,0,,
tm-227,333,0,,
tm-228,334,0,,
tm-229,335,0,,
tm-242,348,0,,
tm-243,349,0,,
tm-254,360,0,,
tm-255,361,0,,
tm-266,372,0,,
tm-267,373,0,,
tm-278,384,0,,
tm-279,385,0,,
tm-395,505,0,,
tm-396,506,0,,
tm-397,507,0,,
tm-398,508,0,,
tm-443,553,0,,
tm-444,554,0,,
tm-445,555,0,,
tm-446,556,0,,
tm-447,557,0,,
tm-448,558,0,,
tm-507,619,0,,
tm-508,620,0,,
tm-528,640,0,,
tm-529,641,0,,
tm-530,642,0,,
tm-531,643,0,,
tm-532,644,0,,
tm-537,651,0,,
tm-538,652,0,,
tm-539,653,0,,
tm-540,654,0.305,,
tm-541,655,0,,
tm-542,656,0,,
tm-543,657,0,,
tm-544,658,0,,
tm-545,659,0,,
tm-546,660,0,,
tm-547,661,0,,
tm-548,662,0,,
tm-549,663,0,,
tm-550,664,0,,
tm-551,665,0,,
tm-552,666,0,,
tm-553,667,0,,
tm-554,668,0,,
tm-639,56,0,,
tm-640,57,0,,
tm-646,63,-0,,
tm-647,64,-0,,
tm-648,65,0,,
tm-649,66,0,,
tm-650,67,-0,,
tm-651,68,0,,
tm-652,69,0,,
tm-653,70,0,,
tm-654,71,-0,,
tm-655,72,-0,,
tm-656,73,0,,
tm-657,74,0,,
tm-658,77,-0,,
tm-659,78,-0,,
tm-660,79,0,,
tm-661,80,0,,
tm-662,81,0,,
tm-735,156,0,,
tm-801,223,0,,
tm-802,225,0,,
tm-803,226,0,,
tm-804,227,0,,
tm-805,228,0,,
tm-806,229,-0,,
tm-807,230,-0,,
tm-808,231,-0,,
tm-809,232,-0,,
tm-810,233,-0,,
tm-811,234,-0,,
tm-812,235,0,,
tm-813,236,0,,
tm-814,237,-0,,
tm-815,238,0,,
tm-816,239,-0,,
tm-817,240,-0,,
tm-818,241,-0,,
tm-819,242,0,,
tm-820,243,0,,
tm-821,244,0,,
tm-822,245,-0,,
tm-823,246,-0,,
tm-824,247,-0,,
tm-825,248,0,,
tm-826,249,0,,
tm-827,250,0,,
tm-828,251,0,,
tm-829,252,0,,
tm-830,253,-0,,
tm-831,254,-0,,
tm-832,255,0,,
tm-833,257,0,,
tm-834,258,0,,
tm-835,259,0,,
tm-836,260,0,,
tm-837,261,0,,
tm-838,262,-0,,
tm-839,263,0,,
tm-840,264,0,,
tm-841,265,0,,
tm-842,266,-0,,
tm-843,267,0,,
tm-844,268,0,,
tm-845,269,0,,
tm-846,270,0,,
tm-847,271,0,,
tm-848,272,0,,
tm-849,273,0,,
tm-850,274,0,,
tm-851,275,0,,
tm-852,276,-0,,
tm-853,277,0,,
tm-854,278,0,,
tm-855,279,0,,
tm-856,280,0,,
tm-857,281,0,,
tm-858,282,0,,
tm-859,283,0,,
tm-860,284,0,,
tm-861,285,-0,,
tm-862,286,-0,,
tm-863,287,0,,
tm-864,288,-0,,
tm-865,289,0,,
tm-866,290,0,,
tm-867,291,-0,,
tm-868,292,-0,,
tm-869,293,0,,
tm-870,294,0,,
tm-871,295,0,,
tm-872,296,0,,
tm-873,297,0,,
tm-874,298,-0,,
tm-875,299,0,,
tm-876,300,0,,
tm-877,301,-0,,
tm-878,302,0,,
tm-879,303,0,,
tm-880,304,0,,
tm-881,305,0,,
tm-928,355,-0,,
tm-929,356,-0,,
tm-932,359,0,,
tm-933,360,0,,
tm-934,361,0,,
tm-995,422,-0,,
tm-1043,470,0,,
tm-1044,471,0,,
tm-1062,489,0,,
tm-1063,490,0,,
tm-1064,491,-0,,
tm-1065,492,0,,
tm-1066,493,-0,,
tm-1067,494,-0,,
tm-1068,495,-0,,
