id,number,base_offset,start_z,end_z,top_level_id,top_offset,width,step_count
st-1,,,,,,,,19
st-2,,,,,,,,24
st-3,,,,,,,,25
st-4,,,,,,,,22
st-5,,,,,,,,30
st-6,,,,,,,,14
st-7,,,,,,,,19
st-8,,,,,,,,24
st-9,,,,,,,,19
st-10,,,,,,,,3
st-11,,,,,,,,20
st-12,,,,,,,,19
st-13,,,,,,,,24
st-14,,,,,,,,24
st-15,,,,,,,,14
st-16,,,,,,,,17
st-17,,,,,,,,20
st-18,,,,,,,,2
st-19,,,,,,,,19
st-20,,0,,,,,,
st-21,,,,,,,,26
st-22,,,,,,,,26
st-23,,,,,,,,26
st-24,,,,,,,,2
st-25,,,,,,,,17
st-26,,,,,,,,12
st-27,,,,,,,,19
